target,rule,n,value_rel_median,value_rel_p95,grad_angle_median_deg,grad_angle_p95_deg,grad_mag_median,kendall_tau,top_decile_overlap,pass
centre,full,8,6.808997341687765,19.70147251133296,87.89517137007196,159.74513487103778,52.073047366316885,0.12573818897637795,0.08333333333333333,False
centre,full,16,7.358342248128556,21.652897182195606,80.40757578401262,140.9792874173075,41.59998513909427,0.22317913385826774,0.6666666666666666,False
centre,full,32,6.5727743719179434,21.13721354927881,77.66811331718647,151.48012823923145,30.89366448706604,0.2256397637795276,0.5,False
centre,full,64,6.738393996730402,22.02524333214224,83.04426008580629,156.37294798256576,26.96891700018712,0.22367125984251973,0.5833333333333334,False
centre,full,128,6.7382479720951,21.720830317384458,75.90407674244483,151.61402969233825,24.75034841855591,0.2256397637795276,0.5,False
centre,full,256,6.776772082683264,21.789890785234803,77.1619933051556,152.05984992319893,24.329983421042847,0.22588582677165356,0.5,False
centre,full,512,6.783943697892291,21.804455336991715,77.33368428543073,152.90621779013557,25.789337153994456,0.22588582677165356,0.5,False
centre,clip,8,0.0923678645675979,0.3766460351021905,25.482624757757666,172.6785187627137,1.451216277057917,0.7426181102362206,0.9166666666666666,False
centre,clip,16,0.024525142536306485,0.11928432405939447,17.03299473281801,155.34878614017728,1.078536609101091,0.907726377952756,1.0,False
centre,clip,32,0.004243296554159273,0.021798312998800393,6.480512886255461,45.86668445864423,1.0342304812573873,0.9840059055118112,1.0,False
centre,clip,64,0.001222798522050832,0.005756694649827532,3.2555343460982504,24.810258042009483,1.0058702017727397,0.9945866141732285,1.0,False
centre,clip,128,0.00026775139464343164,0.0014761171243024168,1.5172331288213041,11.339223996488597,1.0056890612822462,0.9975393700787403,1.0,True
centre,clip,256,6.786130334838475e-05,0.0005626821099181948,1.1489321151824299,6.8084615099526395,0.9953013721350591,0.9992618110236221,1.0,True
centre,clip,512,1.3343419041018369e-05,7.777368890758738e-05,0.5601529561481337,3.648086314670294,1.0016838740705372,1.0,1.0,True
offcentre,full,8,23.86617045773886,220.74631211565486,86.66240090634062,159.86967169182668,142.76813657569062,0.10063976377952757,0.0,False
offcentre,full,16,26.022581267880625,216.06350931942424,86.77518184050865,160.9650042472823,113.18328906333579,0.08193897637795276,0.16666666666666666,False
offcentre,full,32,25.25976158053161,216.6753293061724,87.90597495459117,162.35475042436985,76.37828907638266,0.10383858267716536,0.25,False
offcentre,full,64,25.587812981847314,217.44329784901478,83.6004547797107,163.70302986018947,68.7176987334889,0.09867125984251969,0.25,False
offcentre,full,128,25.671300789028592,217.2910099810548,86.16704797634002,158.58289115678977,64.97641351223203,0.10236220472440948,0.25,False
offcentre,full,256,25.666582966349125,217.36944007674543,83.19630654668507,157.8600273346982,73.69913038356763,0.10088582677165356,0.25,False
offcentre,full,512,25.673375943397744,217.37406593992665,81.6414942381179,157.2112167449996,71.85643909286551,0.10039370078740159,0.25,False
offcentre,clip,8,0.1472797886531922,0.4536826611600218,36.01690856276251,157.14582871402285,1.457064993037731,0.8929625984251969,0.9166666666666666,False
offcentre,clip,16,0.03909341272201412,0.248511583462993,17.062975663691834,127.62310927564113,1.0614584744681541,0.941437007874016,1.0,False
offcentre,clip,32,0.008559995828996586,0.053922091486234794,7.88801591730633,82.54655744112004,1.0149438467931118,0.9842519685039371,0.9166666666666666,False
offcentre,clip,64,0.0024340969200864447,0.01451910224169032,3.3809096570187274,25.71670400867589,1.0142359695404912,0.9958169291338584,1.0,False
offcentre,clip,128,0.0005836648823583346,0.002666801967899606,1.6657701664230342,14.396324990868063,1.0030184570810277,0.9990157480314962,1.0,True
offcentre,clip,256,0.00012766143671987478,0.000780164432406864,0.7544745524304952,9.940533497556238,0.9996526744829195,0.9997539370078742,1.0,True
offcentre,clip,512,3.355891894618953e-05,0.00013930213055154692,0.33690139878290615,3.2316437706251384,0.9990526003296508,1.0,1.0,True
