method,impl,k,photon_count,selection_seed,n_noise,psnr_mean,psnr_std,ssim_mean,ssim_std,hfen_mean,hfen_std,cache_s,sel_s,total_s
bundle_c0005,greedy_adam_bundle,40,10000.0,0,3,38.1957,0.0038,0.8991,0.0001,4.5487,0.0016,0.0,6.36,6.36
bundle_c0005,greedy_adam_bundle,80,10000.0,0,3,38.3,0.0036,0.9078,0.0,4.278,0.0008,0.0,10.42,10.42
bundle_c002,greedy_adam_bundle,40,10000.0,0,3,38.0035,0.0021,0.9011,0.0001,4.7935,0.0003,0.0,5.41,5.41
bundle_c002,greedy_adam_bundle,80,10000.0,0,3,37.7765,0.0017,0.9047,0.0001,4.8441,0.0011,0.0,11.19,11.19
bundle_c005,greedy_adam_bundle,40,10000.0,0,3,36.0843,0.0002,0.8863,0.0001,6.3824,0.0004,0.0,5.51,5.51
bundle_c005,greedy_adam_bundle,80,10000.0,0,3,37.7657,0.0016,0.9031,0.0,4.8451,0.0015,0.0,10.16,10.16
bundle_c010,greedy_adam_bundle,40,10000.0,0,3,36.3136,0.002,0.8854,0.0001,6.2036,0.0003,0.0,5.3,5.3
bundle_c010,greedy_adam_bundle,80,10000.0,0,3,37.4332,0.0012,0.897,0.0001,5.1046,0.0004,0.0,10.6,10.6
bundle_c020,greedy_adam_bundle,40,10000.0,0,3,35.6851,0.001,0.8839,0.0001,6.6994,0.0003,0.0,5.45,5.45
bundle_c020,greedy_adam_bundle,80,10000.0,0,3,37.2296,0.0022,0.8979,0.0001,5.4591,0.0009,0.0,10.3,10.3
bundle_c040,greedy_adam_bundle,40,10000.0,0,3,35.2038,0.001,0.8827,0.0001,6.9422,0.0003,0.0,5.6,5.6
bundle_c040,greedy_adam_bundle,80,10000.0,0,3,35.9421,0.0006,0.89,0.0,6.2996,0.0005,0.0,10.47,10.47
bundle_c080,greedy_adam_bundle,40,10000.0,0,3,33.909,0.0009,0.8647,0.0,7.4457,0.0006,0.0,5.47,5.47
bundle_c080,greedy_adam_bundle,80,10000.0,0,3,36.7932,0.0019,0.8861,0.0001,5.4644,0.0004,0.0,10.47,10.47
