method,impl,k,photon_count,selection_seed,noise_seed,psnr,ssim,hfen
bundle_c0005,greedy_adam_bundle,40,10000.0,0,0,38.190558,0.898983,4.550369
bundle_c0005,greedy_adam_bundle,40,10000.0,0,1,38.196731,0.89911,4.549287
bundle_c0005,greedy_adam_bundle,40,10000.0,0,2,38.19975,0.899176,4.546484
bundle_c0005,greedy_adam_bundle,80,10000.0,0,0,38.296558,0.907809,4.278475
bundle_c0005,greedy_adam_bundle,80,10000.0,0,1,38.298454,0.907812,4.278672
bundle_c0005,greedy_adam_bundle,80,10000.0,0,2,38.305063,0.907877,4.276863
bundle_c002,greedy_adam_bundle,40,10000.0,0,0,38.000474,0.90098,4.793906
bundle_c002,greedy_adam_bundle,40,10000.0,0,1,38.005133,0.901064,4.793336
bundle_c002,greedy_adam_bundle,40,10000.0,0,2,38.004781,0.901133,4.793245
bundle_c002,greedy_adam_bundle,80,10000.0,0,0,37.774156,0.904601,4.84354
bundle_c002,greedy_adam_bundle,80,10000.0,0,1,37.777243,0.904743,4.845631
bundle_c002,greedy_adam_bundle,80,10000.0,0,2,37.778162,0.90481,4.843244
bundle_c005,greedy_adam_bundle,40,10000.0,0,0,36.084036,0.886183,6.381872
bundle_c005,greedy_adam_bundle,40,10000.0,0,1,36.084485,0.886246,6.382643
bundle_c005,greedy_adam_bundle,40,10000.0,0,2,36.084435,0.886363,6.382699
bundle_c005,greedy_adam_bundle,80,10000.0,0,0,37.765017,0.90306,4.844172
bundle_c005,greedy_adam_bundle,80,10000.0,0,1,37.764182,0.903068,4.847237
bundle_c005,greedy_adam_bundle,80,10000.0,0,2,37.768021,0.903132,4.843936
bundle_c010,greedy_adam_bundle,40,10000.0,0,0,36.310983,0.885253,6.203359
bundle_c010,greedy_adam_bundle,40,10000.0,0,1,36.314135,0.885408,6.204048
bundle_c010,greedy_adam_bundle,40,10000.0,0,2,36.315685,0.885617,6.203347
bundle_c010,greedy_adam_bundle,80,10000.0,0,0,37.432779,0.897027,5.105183
bundle_c010,greedy_adam_bundle,80,10000.0,0,1,37.432065,0.896961,5.104459
bundle_c010,greedy_adam_bundle,80,10000.0,0,2,37.434892,0.8971,5.10427
bundle_c020,greedy_adam_bundle,40,10000.0,0,0,35.68379,0.883782,6.699741
bundle_c020,greedy_adam_bundle,40,10000.0,0,1,35.686309,0.883874,6.699069
bundle_c020,greedy_adam_bundle,40,10000.0,0,2,35.685194,0.88394,6.699384
bundle_c020,greedy_adam_bundle,80,10000.0,0,0,37.227565,0.897895,5.460275
bundle_c020,greedy_adam_bundle,80,10000.0,0,1,37.22848,0.897802,5.458108
bundle_c020,greedy_adam_bundle,80,10000.0,0,2,37.232646,0.898,5.458955
bundle_c040,greedy_adam_bundle,40,10000.0,0,0,35.202428,0.882643,6.942158
bundle_c040,greedy_adam_bundle,40,10000.0,0,1,35.204134,0.882582,6.942633
bundle_c040,greedy_adam_bundle,40,10000.0,0,2,35.204697,0.882878,6.941904
bundle_c040,greedy_adam_bundle,80,10000.0,0,0,35.942034,0.889937,6.298978
bundle_c040,greedy_adam_bundle,80,10000.0,0,1,35.941492,0.889947,6.300278
bundle_c040,greedy_adam_bundle,80,10000.0,0,2,35.94284,0.889982,6.299612
bundle_c080,greedy_adam_bundle,40,10000.0,0,0,33.907686,0.864646,7.445905
bundle_c080,greedy_adam_bundle,40,10000.0,0,1,33.909869,0.864689,7.446345
bundle_c080,greedy_adam_bundle,40,10000.0,0,2,33.909445,0.864735,7.444954
bundle_c080,greedy_adam_bundle,80,10000.0,0,0,36.791987,0.885972,5.464057
bundle_c080,greedy_adam_bundle,80,10000.0,0,1,36.791715,0.885983,5.464954
bundle_c080,greedy_adam_bundle,80,10000.0,0,2,36.795798,0.886211,5.464107
