phantom,method,scout_views,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v4a,greedy_bundle_ocr_scout,8,40,384,360,1,35.97765,0.90829,0.23367,6.81522,0.83943,5.58955,2.72866,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,8,80,384,360,1,37.08283,0.93739,0.20575,6.13439,0.83943,5.5415,2.71844,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,16,40,384,360,1,35.98702,0.90395,0.23342,6.75681,0.83943,5.54232,2.7003,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,16,80,384,360,1,37.7499,0.9387,0.19054,5.69041,0.83943,6.28097,2.71724,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,32,40,384,360,1,36.21852,0.90415,0.22728,6.64364,0.83943,6.3579,2.71009,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,32,80,384,360,1,37.9425,0.94103,0.18636,5.57864,0.83943,6.40092,2.74192,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,64,40,384,360,1,37.47276,0.91556,0.19672,5.87422,0.83943,5.55652,2.71446,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,64,80,384,360,1,38.83229,0.94569,0.16822,4.93404,0.83943,5.68453,2.73379,0.0
lof_flange_v4a,greedy_bundle_scout,8,40,384,360,1,35.39867,0.90266,0.24978,7.07071,0.83943,5.34556,2.71024,0.0
lof_flange_v4a,greedy_bundle_scout,8,80,384,360,1,36.68151,0.93763,0.21548,6.39678,0.83943,5.39644,2.74583,0.0
lof_flange_v4a,greedy_bundle_scout,16,40,384,360,1,35.72406,0.89881,0.24059,6.87547,0.83943,5.44862,2.71222,0.0
lof_flange_v4a,greedy_bundle_scout,16,80,384,360,1,37.14353,0.93613,0.20432,6.07461,0.83943,5.40294,2.7314,0.0
lof_flange_v4a,greedy_bundle_scout,32,40,384,360,1,35.39754,0.89768,0.24981,7.09324,0.83943,5.66863,2.70908,0.0
lof_flange_v4a,greedy_bundle_scout,32,80,384,360,1,36.97047,0.93503,0.20843,6.20957,0.83943,5.43657,2.75623,0.0
lof_flange_v4a,greedy_bundle_scout,64,40,384,360,1,35.74458,0.90314,0.24003,6.84686,0.83943,5.36151,2.71731,0.0
lof_flange_v4a,greedy_bundle_scout,64,80,384,360,1,37.14141,0.93986,0.20437,6.18524,0.83943,5.40172,2.73081,0.0
lof_flange_v4a,greedy_composite_scout,8,40,384,360,1,35.45548,0.90378,0.24815,7.08798,0.83943,5.45778,2.71752,0.0
lof_flange_v4a,greedy_composite_scout,8,80,384,360,1,37.29408,0.9381,0.20081,5.94263,0.83943,5.40564,2.73465,0.0
lof_flange_v4a,greedy_composite_scout,16,40,384,360,1,36.34206,0.9063,0.22407,6.5068,0.83943,5.67011,2.70941,0.0
lof_flange_v4a,greedy_composite_scout,16,80,384,360,1,38.38823,0.93976,0.17704,5.16815,0.83943,5.73286,2.73942,0.0
lof_flange_v4a,greedy_composite_scout,32,40,384,360,1,35.91535,0.90704,0.23535,6.8215,0.83943,6.70537,2.74039,0.0
lof_flange_v4a,greedy_composite_scout,32,80,384,360,1,37.79375,0.94124,0.18958,5.64634,0.83943,6.74156,2.73581,0.0
lof_flange_v4a,greedy_composite_scout,64,40,384,360,1,36.47775,0.90599,0.2206,6.34111,0.83943,6.74114,2.73315,0.0
lof_flange_v4a,greedy_composite_scout,64,80,384,360,1,39.28,0.94468,0.15977,4.66297,0.83943,6.6837,2.72894,0.0
lof_flange_v4a,vcls_bundle_scout,8,40,384,360,1,35.1263,0.88566,0.25773,7.26661,0.83943,5.39445,2.68703,0.0
lof_flange_v4a,vcls_bundle_scout,8,80,384,360,1,36.3918,0.92773,0.22279,6.52712,0.83943,5.42331,2.71521,0.0
lof_flange_v4a,vcls_bundle_scout,16,40,384,360,1,35.26137,0.88391,0.25376,7.19297,0.83943,5.33308,2.70289,0.0
lof_flange_v4a,vcls_bundle_scout,16,80,384,360,1,36.80511,0.92746,0.21244,6.26845,0.83943,5.41349,2.69691,0.0
lof_flange_v4a,vcls_bundle_scout,32,40,384,360,1,35.23115,0.87999,0.25464,7.09952,0.83943,5.08844,2.65946,0.0
lof_flange_v4a,vcls_bundle_scout,32,80,384,360,1,37.86834,0.92563,0.18796,5.64546,0.83943,5.39681,2.69531,0.0
lof_flange_v4a,vcls_bundle_scout,64,40,384,360,1,36.90084,0.89611,0.21011,6.1381,0.83943,5.41105,2.69239,0.0
lof_flange_v4a,vcls_bundle_scout,64,80,384,360,1,36.88301,0.92527,0.21054,6.20796,0.83943,5.44418,2.71254,0.0
lof_flange_v4a,vcls_scout,8,40,384,360,1,42.4666,0.9552,0.1107,2.60965,0.83943,3.86316,3.3193,0.0
lof_flange_v4a,vcls_scout,8,80,384,360,1,45.53572,0.96461,0.07775,1.42236,0.83943,5.48958,3.14871,0.0
lof_flange_v4a,vcls_scout,16,40,384,360,1,42.48426,0.95627,0.11048,2.58323,0.83943,3.86316,3.32352,0.0
lof_flange_v4a,vcls_scout,16,80,384,360,1,45.2729,0.96152,0.08014,1.46126,0.83943,6.90029,3.16144,0.0
lof_flange_v4a,vcls_scout,32,40,384,360,1,42.47104,0.95545,0.11065,2.60847,0.83943,3.86316,3.31731,0.0
lof_flange_v4a,vcls_scout,32,80,384,360,1,45.74195,0.97442,0.07593,1.4371,0.83943,3.86316,3.14828,0.0
lof_flange_v4a,vcls_scout,64,40,384,360,1,42.43853,0.95468,0.11106,2.58774,0.83943,3.86316,3.31066,0.0
lof_flange_v4a,vcls_scout,64,80,384,360,1,45.72925,0.97414,0.07604,1.44371,0.83943,3.86316,3.14574,0.0
