phantom,method,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v4a,greedy_bundle,40,384,360,2,36.29743,0.90799,0.22522,6.54642,0.83943,5.37386,2.73519,0.0
lof_flange_v4a,greedy_bundle,80,384,360,2,37.54378,0.93613,0.19512,5.73052,0.83943,5.41012,2.71688,0.0
lof_flange_v4a,greedy_bundle_ocr,40,384,360,2,38.20277,0.91917,0.18086,5.15034,0.83943,5.56291,2.70768,0.0
lof_flange_v4a,greedy_bundle_ocr,80,384,360,2,40.29828,0.95398,0.14209,4.00523,0.83943,5.40899,2.72623,0.0
lof_flange_v4a,greedy_composite,40,384,360,2,37.72035,0.90798,0.19119,5.42985,0.83943,5.39815,2.73171,0.0
lof_flange_v4a,greedy_composite,80,384,360,2,39.60401,0.94675,0.15392,4.26302,0.83943,6.49561,2.76809,0.0
lof_flange_v4a,uniform_bundle,40,384,360,2,36.28919,0.89813,0.22544,6.48323,0.83943,5.3604,2.70121,0.0
lof_flange_v4a,uniform_bundle,80,384,360,2,38.95793,0.94754,0.1658,4.88087,0.83943,5.40513,2.73015,0.0
lof_flange_v4a,vcls,40,384,360,2,42.47841,0.95682,0.11055,2.60136,0.83943,3.88323,3.32894,0.0
lof_flange_v4a,vcls,80,384,360,2,45.78853,0.97379,0.07552,1.37874,0.83943,3.88323,3.13054,0.0
lof_flange_v4a,vcls_bundle,40,384,360,2,36.23217,0.89613,0.22692,6.63466,0.83943,5.3423,2.66645,0.0
lof_flange_v4a,vcls_bundle,80,384,360,2,38.23747,0.92198,0.18014,5.21946,0.83943,5.39145,2.68444,0.0
