phantom,method,scout_views,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v4b,greedy_bundle_ocr_scout,8,40,384,360,1,32.33651,0.85238,0.21455,9.66354,1.09046,8.7094,4.22731,0.0
lof_flange_v4b,greedy_bundle_ocr_scout,8,80,384,360,1,33.70555,0.89008,0.18326,8.58435,1.09046,8.7301,4.22873,0.0
lof_flange_v4b,greedy_bundle_ocr_scout,16,40,384,360,1,31.95055,0.84375,0.22429,9.93046,1.09046,8.73375,4.27503,0.0
lof_flange_v4b,greedy_bundle_ocr_scout,16,80,384,360,1,34.39923,0.89672,0.16919,7.90452,1.09046,8.7288,4.29002,0.0
lof_flange_v4b,greedy_bundle_ocr_scout,32,40,384,360,1,32.38146,0.85243,0.21344,9.65378,1.09046,8.6429,4.25846,0.0
lof_flange_v4b,greedy_bundle_ocr_scout,32,80,384,360,1,34.27256,0.89654,0.17168,8.0346,1.09046,8.73139,4.23582,0.0
lof_flange_v4b,greedy_bundle_ocr_scout,64,40,384,360,1,31.80253,0.85228,0.22815,10.03494,1.09046,8.74954,4.24111,0.0
lof_flange_v4b,greedy_bundle_ocr_scout,64,80,384,360,1,33.91594,0.89498,0.17887,8.38483,1.09046,8.75836,4.26389,0.0
lof_flange_v4b,greedy_bundle_scout,8,40,384,360,1,31.58203,0.84865,0.23402,10.21684,1.09046,8.69648,4.20013,0.0
lof_flange_v4b,greedy_bundle_scout,8,80,384,360,1,33.1975,0.88829,0.1943,8.9755,1.09046,8.65153,4.19871,0.0
lof_flange_v4b,greedy_bundle_scout,16,40,384,360,1,31.62682,0.84897,0.23281,10.09514,1.09046,8.70633,4.23232,0.0
lof_flange_v4b,greedy_bundle_scout,16,80,384,360,1,34.06856,0.89417,0.17576,8.26116,1.09046,8.63918,4.28121,0.0
lof_flange_v4b,greedy_bundle_scout,32,40,384,360,1,31.32109,0.84545,0.24115,10.27004,1.09046,8.72412,4.25298,0.0
lof_flange_v4b,greedy_bundle_scout,32,80,384,360,1,33.46442,0.89674,0.18842,8.83046,1.09046,8.68261,4.30514,0.0
lof_flange_v4b,greedy_bundle_scout,64,40,384,360,1,31.40069,0.85088,0.23895,10.26513,1.09046,8.75483,4.29671,0.0
lof_flange_v4b,greedy_bundle_scout,64,80,384,360,1,32.9585,0.89559,0.19972,9.16832,1.09046,8.75939,4.28808,0.0
lof_flange_v4b,greedy_composite_scout,8,40,384,360,1,32.96781,0.85036,0.19951,9.05879,1.09046,8.71292,4.27298,0.0
lof_flange_v4b,greedy_composite_scout,8,80,384,360,1,33.81606,0.89291,0.18094,8.39415,1.09046,8.72536,4.28536,0.0
lof_flange_v4b,greedy_composite_scout,16,40,384,360,1,32.96009,0.85034,0.19968,8.97906,1.09046,8.69937,4.29691,0.0
lof_flange_v4b,greedy_composite_scout,16,80,384,360,1,34.70606,0.89674,0.16332,7.48077,1.09046,8.72519,4.31063,0.0
lof_flange_v4b,greedy_composite_scout,32,40,384,360,1,31.86334,0.84531,0.22656,9.9567,1.09046,8.64657,4.28007,0.0
lof_flange_v4b,greedy_composite_scout,32,80,384,360,1,33.75598,0.89248,0.1822,8.41992,1.09046,8.64554,4.2986,0.0
lof_flange_v4b,greedy_composite_scout,64,40,384,360,1,32.12028,0.85265,0.21995,9.79368,1.09046,8.71003,4.28056,0.0
lof_flange_v4b,greedy_composite_scout,64,80,384,360,1,36.46449,0.90244,0.13339,5.92222,1.09046,8.68043,4.30174,0.0
lof_flange_v4b,vcls_bundle_scout,8,40,384,360,1,31.47706,0.84599,0.23686,10.32577,1.09046,8.73089,4.21887,0.0
lof_flange_v4b,vcls_bundle_scout,8,80,384,360,1,33.4982,0.88033,0.18769,8.71184,1.09046,8.73022,4.24407,0.0
lof_flange_v4b,vcls_bundle_scout,16,40,384,360,1,31.46667,0.84092,0.23714,10.31919,1.09046,8.74794,4.2995,0.0
lof_flange_v4b,vcls_bundle_scout,16,80,384,360,1,34.90872,0.88217,0.15955,7.34577,1.09046,8.72857,4.34,0.0
lof_flange_v4b,vcls_bundle_scout,32,40,384,360,1,31.38227,0.83847,0.23946,10.28568,1.09046,8.64062,4.26937,0.0
lof_flange_v4b,vcls_bundle_scout,32,80,384,360,1,32.69234,0.87019,0.20593,9.27086,1.09046,8.64217,4.30572,0.0
lof_flange_v4b,vcls_bundle_scout,64,40,384,360,1,31.54204,0.84976,0.2351,10.24879,1.09046,8.75856,4.27001,0.0
lof_flange_v4b,vcls_bundle_scout,64,80,384,360,1,32.73509,0.87405,0.20492,9.33174,1.09046,8.65727,4.36041,0.0
lof_flange_v4b,vcls_scout,8,40,384,360,1,36.73104,0.92162,0.12936,4.4208,1.09046,8.61703,6.30634,0.0
lof_flange_v4b,vcls_scout,8,80,384,360,1,37.68485,0.91733,0.11591,2.8177,1.09046,8.74353,6.21234,0.0
lof_flange_v4b,vcls_scout,16,40,384,360,1,36.80237,0.9221,0.1283,4.33682,1.09046,8.60496,6.31255,0.0
lof_flange_v4b,vcls_scout,16,80,384,360,1,37.61671,0.90419,0.11682,2.76754,1.09046,8.70899,6.22287,0.0
