phantom,method,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v4b,greedy_bundle,40,384,360,1,31.75484,0.86217,0.22941,9.98874,1.09046,8.67023,4.23547,0.0
lof_flange_v4b,greedy_bundle,80,384,360,1,33.73188,0.89915,0.18271,8.56009,1.09046,8.73274,4.25228,0.0
lof_flange_v4b,greedy_bundle_ocr,40,384,360,1,32.23199,0.86297,0.21714,9.72352,1.09046,8.67591,4.22222,0.0
lof_flange_v4b,greedy_bundle_ocr,80,384,360,1,34.41676,0.90114,0.16885,7.93093,1.09046,8.72869,4.26894,0.0
lof_flange_v4b,greedy_composite,40,384,360,1,31.66232,0.86041,0.23186,10.17183,1.09046,8.72432,4.23558,0.0
lof_flange_v4b,greedy_composite,80,384,360,1,35.55543,0.9054,0.14811,6.58825,1.09046,8.7236,4.27826,0.0
lof_flange_v4b,uniform_bundle,40,384,360,1,31.60058,0.85431,0.23352,10.18068,1.09046,8.7353,4.21053,0.0
lof_flange_v4b,uniform_bundle,80,384,360,1,33.34723,0.89708,0.19098,8.91278,1.09046,8.67124,4.25385,0.0
lof_flange_v4b,vcls,40,384,360,1,36.91487,0.92455,0.12665,4.25025,1.09046,8.61703,6.3057,0.0
lof_flange_v4b,vcls,80,384,360,1,37.71077,0.91736,0.11556,2.72034,1.09046,8.73063,6.22315,0.0
lof_flange_v4b,vcls_bundle,40,384,360,1,31.64673,0.84538,0.23228,10.16994,1.09046,8.64237,4.2901,0.0
lof_flange_v4b,vcls_bundle,80,384,360,1,32.59669,0.87357,0.20821,9.40024,1.09046,8.71576,4.28644,0.0
