method,impl,k,photon_count,selection_seed,n_noise,psnr_mean,psnr_std,ssim_mean,ssim_std,hfen_mean,hfen_std,cache_s,sel_s,total_s
vcls,vcls,40,10000.0,0,3,40.1175,0.0041,0.9278,0.0001,2.8,0.0019,49.58,0.39,49.96
vcls,vcls,80,10000.0,0,3,40.59,0.0067,0.921,0.0001,1.8762,0.0004,49.58,1.69,51.27
greedy_adam,greedy_adam,40,10000.0,0,3,38.728,0.0026,0.9008,0.0001,4.1796,0.0006,0.0,1.77,1.77
greedy_adam,greedy_adam,80,10000.0,0,3,40.0269,0.0023,0.9155,0.0,2.6332,0.001,0.0,3.46,3.46
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,3,40.2704,0.0039,0.9114,0.0001,2.8634,0.0002,0.0,21.33,21.33
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,3,40.7057,0.0113,0.9218,0.0001,1.8757,0.0014,0.0,40.18,40.18
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,3,35.4151,0.0012,0.8828,0.0001,6.8111,0.0002,0.0,27.66,27.66
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,3,36.2939,0.0002,0.8898,0.0001,6.0564,0.0004,0.0,54.05,54.05
vcls,vcls,40,10000.0,1,3,40.0922,0.0045,0.9255,0.0001,2.7782,0.0016,49.44,0.41,49.86
vcls,vcls,80,10000.0,1,3,40.5669,0.0031,0.9229,0.0,1.8885,0.0012,49.44,1.58,51.02
greedy_adam,greedy_adam,40,10000.0,1,3,38.7182,0.0036,0.9064,0.0001,4.2562,0.0007,0.0,1.94,1.94
greedy_adam,greedy_adam,80,10000.0,1,3,40.7196,0.0049,0.9204,0.0,2.1173,0.0009,0.0,3.39,3.39
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,3,39.7992,0.0046,0.9006,0.0,3.1755,0.0008,0.0,21.68,21.68
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,3,40.8803,0.0021,0.9204,0.0,1.8198,0.0015,0.0,42.21,42.21
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,1,3,35.7694,0.0004,0.883,0.0001,6.6378,0.0003,0.0,28.62,28.62
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,3,35.9536,0.0021,0.8914,0.0001,6.3527,0.0005,0.0,51.5,51.5
vcls,vcls,40,10000.0,2,3,40.1579,0.0057,0.9292,0.0001,2.7793,0.0007,49.78,0.5,50.28
vcls,vcls,80,10000.0,2,3,40.6125,0.0077,0.9216,0.0001,1.8458,0.0013,49.78,1.06,50.84
greedy_adam,greedy_adam,40,10000.0,2,3,37.9337,0.002,0.8978,0.0,4.8392,0.0009,0.0,1.81,1.81
greedy_adam,greedy_adam,80,10000.0,2,3,40.2321,0.0024,0.9165,0.0,2.4354,0.0007,0.0,3.4,3.4
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,3,39.6623,0.0007,0.9091,0.0,3.3941,0.001,0.0,21.65,21.65
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,3,40.7189,0.01,0.9217,0.0001,1.9331,0.001,0.0,40.91,40.91
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,3,35.2691,0.0011,0.8753,0.0,6.9413,0.0006,0.0,25.51,25.51
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,3,36.3071,0.0015,0.887,0.0001,6.1107,0.0007,0.0,58.79,58.79
