method,impl,k,photon_count,selection_seed,noise_seed,psnr,ssim,hfen
vcls,vcls,40,10000.0,0,0,40.112148,0.927645,2.799323
vcls,vcls,40,10000.0,0,1,40.118062,0.927789,2.802627
vcls,vcls,40,10000.0,0,2,40.122206,0.927833,2.798137
vcls,vcls,80,10000.0,0,0,40.581571,0.920872,1.87613
vcls,vcls,80,10000.0,0,1,40.597978,0.921049,1.875858
vcls,vcls,80,10000.0,0,2,40.590397,0.921,1.876699
greedy_adam,greedy_adam,40,10000.0,0,0,38.726435,0.900794,4.180382
greedy_adam,greedy_adam,40,10000.0,0,1,38.725843,0.900742,4.179601
greedy_adam,greedy_adam,40,10000.0,0,2,38.731657,0.900962,4.17885
greedy_adam,greedy_adam,80,10000.0,0,0,40.028506,0.915499,2.63224
greedy_adam,greedy_adam,80,10000.0,0,1,40.028464,0.915476,2.634552
greedy_adam,greedy_adam,80,10000.0,0,2,40.023612,0.915388,2.632895
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,0,40.271519,0.911459,2.863473
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,1,40.265152,0.911338,2.863153
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,2,40.274393,0.911503,2.863722
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,0,40.691035,0.921716,1.877489
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,1,40.707446,0.9218,1.875752
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,2,40.718488,0.921935,1.874
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,0,35.413745,0.882728,6.810854
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,1,35.415023,0.882837,6.811372
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,2,35.416568,0.882881,6.811205
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,0,36.294048,0.889781,6.055919
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,1,36.293593,0.889774,6.056951
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,2,36.29396,0.889894,6.056444
vcls,vcls,40,10000.0,1,0,40.087423,0.92545,2.778034
vcls,vcls,40,10000.0,1,1,40.09089,0.925445,2.780162
vcls,vcls,40,10000.0,1,2,40.098268,0.925695,2.776277
vcls,vcls,80,10000.0,1,0,40.562795,0.92288,1.888841
vcls,vcls,80,10000.0,1,1,40.567478,0.922927,1.886803
vcls,vcls,80,10000.0,1,2,40.570355,0.922903,1.889732
greedy_adam,greedy_adam,40,10000.0,1,0,38.714624,0.906391,4.256322
greedy_adam,greedy_adam,40,10000.0,1,1,38.716901,0.906299,4.257006
greedy_adam,greedy_adam,40,10000.0,1,2,38.723082,0.906489,4.255356
greedy_adam,greedy_adam,80,10000.0,1,0,40.714061,0.920388,2.11701
greedy_adam,greedy_adam,80,10000.0,1,1,40.726054,0.92032,2.118493
greedy_adam,greedy_adam,80,10000.0,1,2,40.718643,0.92042,2.116448
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,0,39.792742,0.900532,3.174334
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,1,39.80181,0.900642,3.17594
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,2,39.803146,0.90054,3.176248
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,0,40.883315,0.920344,1.818036
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,1,40.878661,0.920401,1.821741
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,2,40.878883,0.920311,1.819749
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,1,0,35.769877,0.882876,6.637466
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,1,1,35.768852,0.883037,6.637758
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,1,2,35.769615,0.883036,6.638303
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,0,35.951572,0.891305,6.352496
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,1,35.952713,0.891477,6.353379
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,2,35.95649,0.891472,6.352325
vcls,vcls,40,10000.0,2,0,40.149792,0.929076,2.780257
vcls,vcls,40,10000.0,2,1,40.162125,0.929193,2.778747
vcls,vcls,40,10000.0,2,2,40.161662,0.929362,2.779021
vcls,vcls,80,10000.0,2,0,40.601786,0.921531,1.845993
vcls,vcls,80,10000.0,2,1,40.619492,0.921711,1.844015
vcls,vcls,80,10000.0,2,2,40.616372,0.921626,1.84728
greedy_adam,greedy_adam,40,10000.0,2,0,37.931419,0.897806,4.839677
greedy_adam,greedy_adam,40,10000.0,2,1,37.936237,0.897759,4.837979
greedy_adam,greedy_adam,40,10000.0,2,2,37.933348,0.897879,4.840047
greedy_adam,greedy_adam,80,10000.0,2,0,40.234605,0.91648,2.434559
greedy_adam,greedy_adam,80,10000.0,2,1,40.232902,0.916413,2.435473
greedy_adam,greedy_adam,80,10000.0,2,2,40.228903,0.916482,2.436225
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,0,39.661321,0.909168,3.392745
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,1,39.66287,0.909129,3.395102
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,2,39.662621,0.909078,3.394325
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,0,40.704782,0.921584,1.933744
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,1,40.72585,0.921757,1.931637
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,2,40.725965,0.92182,1.933772
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,0,35.267647,0.875285,6.941001
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,1,35.270362,0.87539,6.940738
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,2,35.269203,0.87533,6.942178
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,0,36.304882,0.886883,6.111444
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,1,36.308009,0.886959,6.109735
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,2,36.308301,0.887055,6.111036
