method,impl,k,photon_count,selection_seed,n_noise,psnr_mean,psnr_std,ssim_mean,ssim_std,hfen_mean,hfen_std,cache_s,sel_s,total_s
vcls,vcls,40,10000.0,0,3,30.0541,0.0185,0.8444,0.0001,6.2298,0.0197,50.1,0.35,50.46
vcls,vcls,80,10000.0,0,3,29.0511,0.0139,0.769,0.0001,5.6215,0.0124,50.1,1.37,51.47
greedy_adam,greedy_adam,40,10000.0,0,3,33.3121,0.0118,0.8004,0.0003,5.9879,0.0062,0.0,1.81,1.81
greedy_adam,greedy_adam,80,10000.0,0,3,32.5024,0.0071,0.7696,0.0003,4.594,0.0078,0.0,3.33,3.33
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,3,32.6736,0.012,0.8092,0.0003,5.036,0.0062,0.0,21.3,21.3
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,3,30.6539,0.003,0.751,0.0005,4.7737,0.0086,0.0,40.65,40.65
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,3,31.1638,0.0044,0.8041,0.0002,9.929,0.0007,0.0,29.23,29.23
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,3,32.0198,0.0093,0.7874,0.0001,8.4167,0.005,0.0,51.46,51.46
vcls,vcls,40,10000.0,1,3,30.17,0.0065,0.8478,0.0001,6.1241,0.0122,34.44,0.47,34.9
vcls,vcls,80,10000.0,1,3,28.9868,0.0086,0.7745,0.0,5.6546,0.0166,34.44,2.41,36.84
greedy_adam,greedy_adam,40,10000.0,1,3,33.4177,0.007,0.812,0.0001,5.9006,0.0043,0.0,1.85,1.85
greedy_adam,greedy_adam,80,10000.0,1,3,32.6844,0.0157,0.7728,0.0002,4.1284,0.0077,0.0,3.39,3.39
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,3,32.3587,0.0025,0.7874,0.0,5.2436,0.013,0.0,21.5,21.5
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,3,30.5615,0.0152,0.7449,0.0004,4.8146,0.0082,0.0,39.92,39.92
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,1,3,31.4112,0.0071,0.8088,0.0002,9.7293,0.0022,0.0,26.92,26.92
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,3,31.8451,0.0091,0.7956,0.0002,8.7325,0.0028,0.0,56.49,56.49
vcls,vcls,40,10000.0,2,3,30.0986,0.0111,0.8498,0.0002,6.2243,0.0125,34.94,0.51,35.45
vcls,vcls,80,10000.0,2,3,29.0028,0.0069,0.7708,0.0004,5.6214,0.0078,34.94,2.25,37.19
greedy_adam,greedy_adam,40,10000.0,2,3,32.7097,0.0256,0.8041,0.0004,7.0171,0.0024,0.0,1.82,1.82
greedy_adam,greedy_adam,80,10000.0,2,3,32.6074,0.007,0.7674,0.0002,4.3807,0.0021,0.0,3.32,3.32
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,3,32.4632,0.0206,0.8097,0.0,5.2384,0.0021,0.0,20.99,20.99
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,3,30.2035,0.0121,0.7471,0.0002,4.9178,0.005,0.0,40.67,40.67
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,3,30.6736,0.0058,0.7934,0.0003,10.3609,0.0007,0.0,27.79,27.79
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,3,32.1034,0.0032,0.7862,0.0003,8.3833,0.0019,0.0,61.02,61.02
