method,impl,k,photon_count,selection_seed,noise_seed,psnr,ssim,hfen
vcls,vcls,40,10000.0,0,0,30.043624,0.844529,6.245102
vcls,vcls,40,10000.0,0,1,30.038558,0.844292,6.242206
vcls,vcls,40,10000.0,0,2,30.080167,0.844484,6.201988
vcls,vcls,80,10000.0,0,0,29.035009,0.768948,5.61577
vcls,vcls,80,10000.0,0,1,29.049461,0.768961,5.609982
vcls,vcls,80,10000.0,0,2,29.068825,0.769125,5.638621
greedy_adam,greedy_adam,40,10000.0,0,0,33.303456,0.800297,5.992829
greedy_adam,greedy_adam,40,10000.0,0,1,33.304038,0.800218,5.991591
greedy_adam,greedy_adam,40,10000.0,0,2,33.328849,0.800823,5.979194
greedy_adam,greedy_adam,80,10000.0,0,0,32.502299,0.769747,4.58307
greedy_adam,greedy_adam,80,10000.0,0,1,32.493733,0.76977,4.598046
greedy_adam,greedy_adam,80,10000.0,0,2,32.51108,0.769205,4.600949
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,0,32.670272,0.80951,5.029974
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,1,32.66093,0.808805,5.044558
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,2,32.689696,0.809366,5.03354
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,0,30.657488,0.750344,4.785704
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,1,30.653861,0.751302,4.765864
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,2,30.650211,0.751462,4.769494
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,0,31.16507,0.803998,9.929166
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,1,31.157832,0.804039,9.928083
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,2,31.168499,0.804396,9.929838
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,0,32.025796,0.787418,8.415417
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,1,32.026981,0.78755,8.411435
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,2,32.006735,0.787341,8.423368
