method,k,psnr,ssim,nrmse,hfen,cache_s,sel_s,rec_s,total_s,roi_type,roi_center_x_mm,roi_center_y_mm,roi_center_z_mm,roi_radius_mm,roi_role,seed
vcls_adam_vcl,40,45.80209,0.98064,0.09432,1.83617,96.71480,20.22735,8.96201,125.90417,none,0.00000,0.00000,0.00000,,evaluation_only,0
vcls_adam_vcl,80,49.67217,0.99224,0.06041,0.93919,96.71480,42.02530,18.01939,156.75949,none,0.00000,0.00000,0.00000,,evaluation_only,0
vcls_adam_bundle_center,40,45.78658,0.98054,0.09449,1.84775,96.71480,0.73952,8.89961,106.35393,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
vcls_adam_bundle_center,80,49.68386,0.99226,0.06033,0.93326,96.71480,5.11634,18.02602,119.85716,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
vcls_adam_bundle,40,45.78658,0.98054,0.09449,1.84775,96.71480,2.23692,8.90185,107.85357,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
vcls_adam_bundle,80,49.68342,0.99226,0.06033,0.93328,96.71480,8.48093,18.02859,123.22432,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_vcl,40,40.16160,0.94958,0.18056,4.23785,0.00000,19.97529,9.97531,29.95060,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_vcl,80,43.87544,0.97745,0.11774,2.41600,0.00000,38.04603,19.98263,58.02866,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_bundle_center,40,41.09169,0.95030,0.16223,3.72131,0.00000,1.72349,9.92133,11.64483,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_bundle_center,80,44.59616,0.98062,0.10837,2.48795,0.00000,3.24349,19.98717,23.23066,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_bundle,40,41.07684,0.95006,0.16250,3.72673,0.00000,3.16509,9.92116,13.08625,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_bundle,80,44.55227,0.98060,0.10892,2.50453,0.00000,6.43664,19.99878,26.43542,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
