method,k,psnr,ssim,nrmse,hfen,cache_s,sel_s,rec_s,total_s,roi_type,roi_center_x_mm,roi_center_y_mm,roi_center_z_mm,roi_radius_mm,roi_role,seed,n_candidates
vcls,40,43.24261,0.95605,0.12664,2.46807,11.02575,0.04210,9.87506,20.94291,none,0.00000,0.00000,0.00000,,evaluation_only,0,80
vcls,60,44.77988,0.97028,0.10610,1.95113,11.02575,0.05643,14.94492,26.02710,none,0.00000,0.00000,0.00000,,evaluation_only,0,80
vcls,80,46.53235,0.98326,0.08671,1.47612,11.02575,0.00061,19.94951,30.97587,none,0.00000,0.00000,0.00000,,evaluation_only,0,80
vcls_adam_vcl,40,43.18664,0.95591,0.12746,2.47924,11.02575,19.82033,9.81707,40.66315,none,0.00000,0.00000,0.00000,,evaluation_only,0,80
vcls_adam_vcl,60,44.67500,0.97002,0.10739,1.97121,11.02575,28.76818,14.93797,54.73189,none,0.00000,0.00000,0.00000,,evaluation_only,0,80
vcls_adam_vcl,80,46.36412,0.98285,0.08841,1.50463,11.02575,37.92670,19.92792,68.88036,none,0.00000,0.00000,0.00000,,evaluation_only,0,80
vcls_adam_bundle,40,43.08785,0.95544,0.12892,2.55848,11.02575,1.72260,9.81711,22.56546,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,80
vcls_adam_bundle,60,44.66541,0.96975,0.10751,2.00713,11.02575,2.69284,14.95245,28.67104,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,80
vcls_adam_bundle,80,46.71145,0.98335,0.08494,1.43889,11.02575,3.48932,19.93972,34.45478,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,80
greedy_adam_bundle,40,41.75725,0.95171,0.15026,3.27061,11.02575,1.94625,9.92299,22.89499,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,80
greedy_adam_bundle,60,44.17232,0.97326,0.11379,2.29396,11.02575,2.76486,14.91400,28.70461,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,80
greedy_adam_bundle,80,46.71945,0.98326,0.08487,1.43676,11.02575,3.69718,19.93164,34.65457,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,80
vcls,40,42.12291,0.95766,0.14406,3.09872,13.24431,0.06646,9.72994,23.04071,none,0.00000,0.00000,0.00000,,evaluation_only,0,100
vcls,60,43.24741,0.96864,0.12657,2.68576,13.24431,0.13885,14.85387,28.23704,none,0.00000,0.00000,0.00000,,evaluation_only,0,100
vcls,80,44.02253,0.97816,0.11576,2.45783,13.24431,0.04605,19.96157,33.25194,none,0.00000,0.00000,0.00000,,evaluation_only,0,100
vcls_adam_vcl,40,42.45728,0.95802,0.13862,2.91291,13.24431,20.02327,9.73487,43.00246,none,0.00000,0.00000,0.00000,,evaluation_only,0,100
vcls_adam_vcl,60,43.66818,0.96909,0.12059,2.47248,13.24431,28.94318,14.84300,57.03049,none,0.00000,0.00000,0.00000,,evaluation_only,0,100
vcls_adam_vcl,80,44.51537,0.97871,0.10938,2.24220,13.24431,37.84007,19.95208,71.03646,none,0.00000,0.00000,0.00000,,evaluation_only,0,100
vcls_adam_bundle,40,42.27182,0.95751,0.14162,3.01080,13.24431,1.77041,9.73867,24.75340,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,100
vcls_adam_bundle,60,43.38264,0.96848,0.12462,2.56038,13.24431,2.84040,14.85131,30.93602,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,100
vcls_adam_bundle,80,44.14013,0.97815,0.11421,2.40174,13.24431,3.65274,19.97553,36.87258,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,100
greedy_adam_bundle,40,40.51518,0.95007,0.17336,4.07910,13.24431,1.77589,9.90358,24.92378,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,100
greedy_adam_bundle,60,41.78170,0.96764,0.14984,3.51762,13.24431,2.87157,14.92573,31.04162,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,100
greedy_adam_bundle,80,43.04810,0.97809,0.12951,2.96387,13.24431,3.80638,19.96595,37.01665,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,100
vcls,40,42.79333,0.95921,0.13336,2.76478,16.74499,0.08672,9.58825,26.41995,none,0.00000,0.00000,0.00000,,evaluation_only,0,125
vcls,60,44.62096,0.97244,0.10806,2.02179,16.74499,0.21897,14.78742,31.75137,none,0.00000,0.00000,0.00000,,evaluation_only,0,125
vcls,80,45.92609,0.98243,0.09298,1.67056,16.74499,0.22579,19.77243,36.74321,none,0.00000,0.00000,0.00000,,evaluation_only,0,125
vcls_adam_vcl,40,42.89406,0.95942,0.13183,2.70189,16.74499,19.88054,9.59170,46.21722,none,0.00000,0.00000,0.00000,,evaluation_only,0,125
vcls_adam_vcl,60,44.78774,0.97280,0.10600,1.95581,16.74499,28.96737,14.77634,60.48869,none,0.00000,0.00000,0.00000,,evaluation_only,0,125
vcls_adam_vcl,80,46.16909,0.98287,0.09042,1.58638,16.74499,38.18642,19.75391,74.68531,none,0.00000,0.00000,0.00000,,evaluation_only,0,125
vcls_adam_bundle,40,42.79571,0.95899,0.13333,2.75001,16.74499,1.79346,9.59515,28.13360,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,125
vcls_adam_bundle,60,44.70406,0.97233,0.10703,1.96531,16.74499,3.01665,14.78151,34.54314,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,125
vcls_adam_bundle,80,46.03250,0.98256,0.09185,1.60329,16.74499,3.82273,19.78171,40.34942,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,125
greedy_adam_bundle,40,40.63660,0.94384,0.17095,3.85353,16.74499,1.84477,9.96490,28.55466,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,125
greedy_adam_bundle,60,42.98193,0.97225,0.13050,2.83833,16.74499,2.96943,14.93739,34.65180,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,125
greedy_adam_bundle,80,44.42577,0.98221,0.11051,2.36038,16.74499,3.87218,19.96921,40.58638,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,125
vcls,40,45.30146,0.97678,0.09991,1.93140,33.51982,0.28932,9.06784,42.87698,none,0.00000,0.00000,0.00000,,evaluation_only,0,250
vcls,60,47.41067,0.98471,0.07837,1.35750,33.51982,0.56125,14.11728,48.19834,none,0.00000,0.00000,0.00000,,evaluation_only,0,250
vcls,80,48.88537,0.98856,0.06614,1.01569,33.51982,0.76484,19.28667,53.57133,none,0.00000,0.00000,0.00000,,evaluation_only,0,250
vcls_adam_vcl,40,45.35016,0.97709,0.09936,1.92830,33.51982,20.08802,9.06551,62.67336,none,0.00000,0.00000,0.00000,,evaluation_only,0,250
vcls_adam_vcl,60,47.42680,0.98486,0.07823,1.36288,33.51982,29.24573,14.11563,76.88119,none,0.00000,0.00000,0.00000,,evaluation_only,0,250
vcls_adam_vcl,80,48.91790,0.98868,0.06589,1.02067,33.51982,38.67629,19.27007,91.46618,none,0.00000,0.00000,0.00000,,evaluation_only,0,250
vcls_adam_bundle,40,45.33555,0.97683,0.09952,1.92163,33.51982,2.03050,9.07738,44.62770,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,250
vcls_adam_bundle,60,47.36138,0.98456,0.07882,1.35437,33.51982,3.33444,14.13746,50.99172,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,250
vcls_adam_bundle,80,48.89043,0.98846,0.06610,1.00937,33.51982,4.60774,19.29307,57.42064,none,0.00000,0.00000,0.00000,,optimization+evaluation,0,250
