method,impl,k,photon_count,selection_seed,n_noise,psnr_mean,psnr_std,ssim_mean,ssim_std,hfen_mean,hfen_std,cache_s,sel_s,total_s
bundle_c005,greedy_adam_bundle,40,10000.0,0,3,40.1289,0.0048,0.9311,0.0001,3.8103,0.0004,0.0,3.32,3.32
bundle_c005,greedy_adam_bundle,80,10000.0,0,3,41.85,0.0043,0.9471,0.0,2.701,0.0009,0.0,6.54,6.54
bundle_c010,greedy_adam_bundle,40,10000.0,0,3,40.1289,0.0014,0.9311,0.0,3.8119,0.0003,0.0,3.24,3.24
bundle_c010,greedy_adam_bundle,80,10000.0,0,3,41.8546,0.0074,0.9471,0.0001,2.7034,0.0012,0.0,6.6,6.6
bundle_c020,greedy_adam_bundle,40,10000.0,0,3,40.1243,0.0039,0.9309,0.0001,3.8182,0.0009,0.0,3.31,3.31
bundle_c020,greedy_adam_bundle,80,10000.0,0,3,41.8475,0.0054,0.9471,0.0,2.7059,0.0004,0.0,6.59,6.59
bundle_c040,greedy_adam_bundle,40,10000.0,0,3,40.1266,0.0031,0.931,0.0,3.821,0.0016,0.0,3.24,3.24
bundle_c040,greedy_adam_bundle,80,10000.0,0,3,41.8455,0.0009,0.947,0.0,2.7055,0.0008,0.0,6.64,6.64
bundle_c080,greedy_adam_bundle,40,10000.0,0,3,40.1208,0.0012,0.9309,0.0001,3.8223,0.0009,0.0,3.22,3.22
bundle_c080,greedy_adam_bundle,80,10000.0,0,3,41.8486,0.0049,0.9471,0.0001,2.7048,0.0021,0.0,6.51,6.51
