method,impl,k,photon_count,selection_seed,noise_seed,psnr,ssim,hfen
bundle_c005,greedy_adam_bundle,40,10000.0,0,0,40.126184,0.931002,3.810803
bundle_c005,greedy_adam_bundle,40,10000.0,0,1,40.135664,0.931176,3.810183
bundle_c005,greedy_adam_bundle,40,10000.0,0,2,40.124882,0.931044,3.80977
bundle_c005,greedy_adam_bundle,80,10000.0,0,0,41.845739,0.947109,2.701846
bundle_c005,greedy_adam_bundle,80,10000.0,0,1,41.855823,0.947062,2.701321
bundle_c005,greedy_adam_bundle,80,10000.0,0,2,41.848373,0.947066,2.699703
bundle_c010,greedy_adam_bundle,40,10000.0,0,0,40.129184,0.931042,3.811815
bundle_c010,greedy_adam_bundle,40,10000.0,0,1,40.130497,0.931075,3.812342
bundle_c010,greedy_adam_bundle,40,10000.0,0,2,40.127007,0.931037,3.811583
bundle_c010,greedy_adam_bundle,80,10000.0,0,0,41.844245,0.947053,2.704837
bundle_c010,greedy_adam_bundle,80,10000.0,0,1,41.858375,0.947113,2.703541
bundle_c010,greedy_adam_bundle,80,10000.0,0,2,41.861262,0.947185,2.701901
bundle_c020,greedy_adam_bundle,40,10000.0,0,0,40.122381,0.93085,3.819315
bundle_c020,greedy_adam_bundle,40,10000.0,0,1,40.129641,0.931025,3.817143
bundle_c020,greedy_adam_bundle,40,10000.0,0,2,40.120783,0.930935,3.818232
bundle_c020,greedy_adam_bundle,80,10000.0,0,0,41.840164,0.947056,2.705819
bundle_c020,greedy_adam_bundle,80,10000.0,0,1,41.853161,0.947134,2.705447
bundle_c020,greedy_adam_bundle,80,10000.0,0,2,41.84925,0.947126,2.706392
bundle_c040,greedy_adam_bundle,40,10000.0,0,0,40.129845,0.930965,3.81901
bundle_c040,greedy_adam_bundle,40,10000.0,0,1,40.122482,0.930965,3.823012
bundle_c040,greedy_adam_bundle,40,10000.0,0,2,40.127336,0.930988,3.820994
bundle_c040,greedy_adam_bundle,80,10000.0,0,0,41.845374,0.94704,2.706639
bundle_c040,greedy_adam_bundle,80,10000.0,0,1,41.846735,0.947076,2.705053
bundle_c040,greedy_adam_bundle,80,10000.0,0,2,41.844436,0.947021,2.704789
bundle_c080,greedy_adam_bundle,40,10000.0,0,0,40.119576,0.930802,3.822362
bundle_c080,greedy_adam_bundle,40,10000.0,0,1,40.122446,0.930821,3.821157
bundle_c080,greedy_adam_bundle,40,10000.0,0,2,40.120323,0.930956,3.823396
bundle_c080,greedy_adam_bundle,80,10000.0,0,0,41.842141,0.947016,2.707662
bundle_c080,greedy_adam_bundle,80,10000.0,0,1,41.849649,0.947078,2.702802
bundle_c080,greedy_adam_bundle,80,10000.0,0,2,41.853968,0.947161,2.703974
