method,impl,k,photon_count,selection_seed,n_noise,psnr_mean,psnr_std,ssim_mean,ssim_std,hfen_mean,hfen_std,cache_s,sel_s,total_s
vcls,vcls,40,10000.0,0,5,43.4893,0.005,0.9619,0.0,2.003,0.0019,106.73,0.6,107.33
vcls,vcls,80,10000.0,0,5,44.0086,0.0047,0.9598,0.0,1.3088,0.0007,106.73,5.03,111.76
greedy_discrete,greedy_discrete,40,10000.0,0,5,40.5024,0.0034,0.9322,0.0001,3.3596,0.0015,0.0,0.85,0.85
greedy_discrete,greedy_discrete,80,10000.0,0,5,42.3291,0.0036,0.9461,0.0,2.0254,0.0018,0.0,1.73,1.73
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,5,42.1563,0.0045,0.9354,0.0,2.3533,0.001,0.0,20.76,20.76
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,5,43.3009,0.0054,0.9502,0.0001,1.667,0.0015,0.0,32.36,32.36
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,5,42.9431,0.0032,0.9484,0.0001,2.1138,0.0007,0.0,21.26,21.26
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,5,43.5971,0.0049,0.9545,0.0,1.3599,0.001,0.0,40.38,40.38
greedy_adam_composite,greedy_adam_composite,40,10000.0,0,5,43.2324,0.0068,0.9483,0.0,1.9934,0.0008,0.0,38.98,38.98
greedy_adam_composite,greedy_adam_composite,80,10000.0,0,5,43.9037,0.0059,0.9513,0.0001,1.2018,0.0004,0.0,74.53,74.53
vcls,vcls,40,10000.0,1,5,43.5004,0.0073,0.9614,0.0,1.9739,0.001,68.98,1.11,70.09
vcls,vcls,80,10000.0,1,5,44.0828,0.0067,0.9605,0.0001,1.277,0.0013,68.98,3.72,72.7
greedy_discrete,greedy_discrete,40,10000.0,1,5,39.7168,0.0023,0.9275,0.0,4.0611,0.0008,0.0,0.95,0.95
greedy_discrete,greedy_discrete,80,10000.0,1,5,42.2629,0.0077,0.9449,0.0001,2.1025,0.002,0.0,1.59,1.59
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,1,5,42.7883,0.002,0.9424,0.0001,2.0932,0.0016,0.0,24.88,24.88
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,5,43.2783,0.0041,0.9487,0.0001,1.5981,0.0014,0.0,35.02,35.02
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,5,42.2585,0.0057,0.94,0.0001,2.5149,0.0009,0.0,20.98,20.98
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,5,43.7091,0.0085,0.9535,0.0001,1.3754,0.0012,0.0,40.5,40.5
greedy_adam_composite,greedy_adam_composite,40,10000.0,1,5,43.5502,0.0048,0.9525,0.0001,1.8834,0.0012,0.0,36.71,36.71
greedy_adam_composite,greedy_adam_composite,80,10000.0,1,5,43.8916,0.006,0.9523,0.0001,1.2277,0.0016,0.0,73.06,73.06
vcls,vcls,40,10000.0,2,5,43.5348,0.0015,0.9631,0.0,1.9673,0.0004,69.03,1.25,70.27
vcls,vcls,80,10000.0,2,5,44.0592,0.0045,0.9604,0.0,1.2796,0.0016,69.03,4.75,73.77
greedy_discrete,greedy_discrete,40,10000.0,2,5,40.7539,0.0033,0.9344,0.0,3.2616,0.0007,0.0,0.88,0.88
greedy_discrete,greedy_discrete,80,10000.0,2,5,41.8922,0.0082,0.9467,0.0001,2.3446,0.0032,0.0,1.69,1.69
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,5,43.0957,0.0021,0.9444,0.0001,2.0141,0.0017,0.0,19.21,19.21
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,5,42.9858,0.0037,0.9496,0.0001,1.8073,0.0019,0.0,33.86,33.86
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,5,42.1124,0.0053,0.9403,0.0001,2.474,0.0021,0.0,21.54,21.54
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,5,43.5566,0.0062,0.9519,0.0001,1.3832,0.0019,0.0,39.41,39.41
greedy_adam_composite,greedy_adam_composite,40,10000.0,2,5,43.2827,0.0036,0.9455,0.0001,1.947,0.0008,0.0,37.76,37.76
greedy_adam_composite,greedy_adam_composite,80,10000.0,2,5,43.7619,0.0091,0.951,0.0001,1.3214,0.0014,0.0,73.34,73.34
