method,impl,k,photon_count,selection_seed,noise_seed,psnr,ssim,hfen
vcls,vcls,40,10000.0,0,0,43.484851,0.96181,2.005378
vcls,vcls,40,10000.0,0,1,43.492322,0.961857,2.002161
vcls,vcls,40,10000.0,0,2,43.497222,0.961949,2.000702
vcls,vcls,40,10000.0,0,3,43.483585,0.961908,2.00493
vcls,vcls,40,10000.0,0,4,43.488455,0.961847,2.001631
vcls,vcls,80,10000.0,0,0,44.00771,0.95979,1.309939
vcls,vcls,80,10000.0,0,1,44.006125,0.959741,1.308601
vcls,vcls,80,10000.0,0,2,44.016907,0.959838,1.307923
vcls,vcls,80,10000.0,0,3,44.002788,0.959752,1.309258
vcls,vcls,80,10000.0,0,4,44.00966,0.959818,1.308411
greedy_discrete,greedy_discrete,40,10000.0,0,0,40.500464,0.932202,3.358268
greedy_discrete,greedy_discrete,40,10000.0,0,1,40.508665,0.932253,3.358257
greedy_discrete,greedy_discrete,40,10000.0,0,2,40.503116,0.932211,3.360949
greedy_discrete,greedy_discrete,40,10000.0,0,3,40.49911,0.932082,3.361735
greedy_discrete,greedy_discrete,40,10000.0,0,4,40.50087,0.932208,3.358633
greedy_discrete,greedy_discrete,80,10000.0,0,0,42.327131,0.946158,2.025585
greedy_discrete,greedy_discrete,80,10000.0,0,1,42.335819,0.946174,2.023803
greedy_discrete,greedy_discrete,80,10000.0,0,2,42.329987,0.946171,2.025043
greedy_discrete,greedy_discrete,80,10000.0,0,3,42.326455,0.946107,2.02873
greedy_discrete,greedy_discrete,80,10000.0,0,4,42.326075,0.946127,2.023669
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,0,42.153135,0.935379,2.35516
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,1,42.164991,0.935382,2.353488
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,2,42.155617,0.935395,2.353041
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,3,42.153191,0.935333,2.352489
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,4,42.154333,0.93545,2.352523
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,0,43.299455,0.950134,1.665052
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,1,43.301287,0.950107,1.668626
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,2,43.304006,0.95022,1.667325
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,3,43.291752,0.950088,1.668458
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,4,43.307874,0.950202,1.665497
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,0,42.937783,0.948244,2.11454
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,1,42.942151,0.948321,2.113492
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,2,42.947501,0.948473,2.112795
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,3,42.944034,0.948425,2.113779
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,4,42.944161,0.948379,2.114521
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,0,43.59461,0.954481,1.36025
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,1,43.606112,0.954449,1.359121
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,2,43.591483,0.954501,1.358999
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,3,43.597659,0.954527,1.359418
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,4,43.595564,0.954503,1.361795
greedy_adam_composite,greedy_adam_composite,40,10000.0,0,0,43.234988,0.94836,1.992994
greedy_adam_composite,greedy_adam_composite,40,10000.0,0,1,43.237879,0.948349,1.993519
greedy_adam_composite,greedy_adam_composite,40,10000.0,0,2,43.236466,0.948388,1.99221
greedy_adam_composite,greedy_adam_composite,40,10000.0,0,3,43.219121,0.948284,1.993737
greedy_adam_composite,greedy_adam_composite,40,10000.0,0,4,43.233773,0.948293,1.994613
