method,impl,k,photon_count,selection_seed,noise_seed,psnr,ssim,hfen
vcls,vcls,40,10000.0,0,0,25.019154,0.397626,12.753106
vcls,vcls,40,10000.0,0,1,25.019395,0.397622,12.751013
vcls,vcls,40,10000.0,0,2,25.018194,0.397675,12.75379
vcls,vcls,40,10000.0,0,3,25.016939,0.397416,12.756309
vcls,vcls,40,10000.0,0,4,25.019068,0.397639,12.748756
vcls,vcls,80,10000.0,0,0,24.436907,0.328859,10.892943
vcls,vcls,80,10000.0,0,1,24.437197,0.328883,10.888
vcls,vcls,80,10000.0,0,2,24.436154,0.328848,10.890183
vcls,vcls,80,10000.0,0,3,24.438182,0.329028,10.891968
vcls,vcls,80,10000.0,0,4,24.436858,0.328855,10.889442
greedy_discrete,greedy_discrete,40,10000.0,0,0,25.146753,0.406967,12.567368
greedy_discrete,greedy_discrete,40,10000.0,0,1,25.148757,0.407046,12.566754
greedy_discrete,greedy_discrete,40,10000.0,0,2,25.150986,0.40705,12.560705
greedy_discrete,greedy_discrete,40,10000.0,0,3,25.150184,0.40691,12.565959
greedy_discrete,greedy_discrete,40,10000.0,0,4,25.148727,0.406894,12.564778
greedy_discrete,greedy_discrete,80,10000.0,0,0,24.471015,0.33615,10.790147
greedy_discrete,greedy_discrete,80,10000.0,0,1,24.471354,0.336281,10.792091
greedy_discrete,greedy_discrete,80,10000.0,0,2,24.471877,0.336165,10.785161
greedy_discrete,greedy_discrete,80,10000.0,0,3,24.473604,0.336247,10.790629
greedy_discrete,greedy_discrete,80,10000.0,0,4,24.470236,0.33634,10.804315
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,0,25.022925,0.402953,12.945179
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,1,25.019524,0.402826,12.953144
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,2,25.022068,0.403033,12.947131
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,3,25.019314,0.402819,12.951101
