method,impl,k,photon_count,selection_seed,n_noise,psnr_mean,psnr_std,ssim_mean,ssim_std,hfen_mean,hfen_std,cache_s,sel_s,total_s
vcls,vcls,40,100000.0,0,5,28.1307,0.0003,0.6729,0.0001,11.6297,0.0006,291.67,1.24,292.91
vcls,vcls,80,100000.0,0,5,31.3349,0.0012,0.6993,0.0,8.3049,0.0013,291.67,3.89,295.56
greedy_discrete,greedy_discrete,40,100000.0,0,5,28.3942,0.0004,0.6812,0.0,11.432,0.0007,0.0,17.01,17.01
greedy_discrete,greedy_discrete,80,100000.0,0,5,31.7172,0.0014,0.7095,0.0,7.7852,0.0012,0.0,53.07,53.07
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,0,5,28.1751,0.0005,0.6807,0.0,11.7526,0.0006,0.0,84.73,84.73
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,0,5,29.6487,0.0004,0.6769,0.0,9.5444,0.0007,0.0,62.19,62.19
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,0,5,29.3578,0.0006,0.6977,0.0,10.9724,0.001,0.0,31.75,31.75
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,0,5,31.246,0.0011,0.6974,0.0,8.593,0.0008,0.0,66.02,66.02
greedy_adam_composite,greedy_adam_composite,40,100000.0,0,5,28.3622,0.0007,0.6815,0.0,11.8298,0.0007,0.0,73.79,73.79
greedy_adam_composite,greedy_adam_composite,80,100000.0,0,5,30.8266,0.0004,0.6956,0.0,8.0298,0.0013,0.0,118.36,118.36
vcls,vcls,40,100000.0,1,5,28.2906,0.0004,0.6794,0.0,11.3079,0.0006,288.05,1.56,289.61
vcls,vcls,80,100000.0,1,5,31.4437,0.0005,0.7011,0.0,8.2148,0.0011,288.05,6.79,294.84
greedy_discrete,greedy_discrete,40,100000.0,1,5,28.6676,0.0005,0.6807,0.0,11.2003,0.0007,0.0,0.95,0.95
greedy_discrete,greedy_discrete,80,100000.0,1,5,31.5459,0.0012,0.7047,0.0,8.1201,0.0013,0.0,50.9,50.9
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,1,5,28.1473,0.0001,0.6754,0.0,12.0589,0.0004,0.0,66.05,66.05
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,1,5,29.5565,0.0005,0.6741,0.0,9.603,0.0005,0.0,60.79,60.79
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,1,5,29.5156,0.0003,0.7023,0.0,10.6023,0.001,0.0,51.86,51.86
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,1,5,31.3099,0.0003,0.7006,0.0,8.4182,0.0008,0.0,112.92,112.92
greedy_adam_composite,greedy_adam_composite,40,100000.0,1,5,29.4678,0.0004,0.7024,0.0,10.1407,0.0008,0.0,78.66,78.66
greedy_adam_composite,greedy_adam_composite,80,100000.0,1,5,30.6833,0.0006,0.6916,0.0,8.326,0.001,0.0,121.12,121.12
vcls,vcls,40,100000.0,2,5,27.9489,0.0004,0.6736,0.0,11.6186,0.0009,289.13,1.02,290.14
vcls,vcls,80,100000.0,2,5,31.4711,0.0005,0.7015,0.0,8.0547,0.001,289.13,4.56,293.69
greedy_discrete,greedy_discrete,40,100000.0,2,5,28.4519,0.0006,0.6797,0.0,11.6626,0.0003,0.0,14.5,14.5
greedy_discrete,greedy_discrete,80,100000.0,2,5,31.1146,0.0005,0.6998,0.0,9.0087,0.0006,0.0,53.58,53.58
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,2,5,28.2628,0.0002,0.6864,0.0,11.9344,0.0002,0.0,81.71,81.71
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,2,5,29.6888,0.0003,0.6783,0.0,9.382,0.0009,0.0,59.59,59.59
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,2,5,29.112,0.0001,0.6873,0.0,10.9897,0.0007,0.0,57.33,57.33
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,2,5,31.5749,0.0004,0.7053,0.0,7.839,0.0005,0.0,66.61,66.61
greedy_adam_composite,greedy_adam_composite,40,100000.0,2,5,29.0145,0.0002,0.695,0.0,10.6171,0.0001,0.0,73.73,73.73
greedy_adam_composite,greedy_adam_composite,80,100000.0,2,5,30.4235,0.0005,0.6891,0.0,8.7457,0.0007,0.0,121.85,121.85
