method,k,psnr,ssim,nrmse,hfen,cache_s,sel_s,rec_s,total_s,roi_type,roi_center_x_mm,roi_center_y_mm,roi_center_z_mm,roi_radius_mm,roi_role,seed
vcls,40,45.78787,0.98007,0.09447,1.83370,97.21248,0.95140,8.99358,107.15746,none,0.00000,0.00000,0.00000,,evaluation_only,4
vcls,80,49.96671,0.99241,0.05839,0.86040,97.21248,6.23041,18.03108,121.47398,none,0.00000,0.00000,0.00000,,evaluation_only,4
greedy_adam_path_div,40,43.34082,0.95729,0.12522,2.38332,0.00000,67.56158,9.41925,76.98084,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
greedy_adam_path_div,80,45.40396,0.98421,0.09874,1.79336,0.00000,99.81249,18.28548,118.09797,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
vcls_adam_bundle_center,40,45.83335,0.98014,0.09398,1.82043,97.21248,1.10487,8.92287,107.24022,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
vcls_adam_bundle_center,80,49.98191,0.99239,0.05829,0.85711,97.21248,6.51290,18.05816,121.78355,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
vcls_adam_bundle,40,45.83335,0.98014,0.09398,1.82043,97.21248,2.55009,8.92693,108.68950,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
vcls_adam_bundle,80,49.98190,0.99239,0.05829,0.85711,97.21248,9.99900,18.05454,125.26602,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
greedy_adam_bundle_center,40,41.64626,0.95578,0.15219,3.39872,0.00000,1.72811,9.95094,11.67906,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
greedy_adam_bundle_center,80,44.21936,0.97763,0.11317,2.31453,0.00000,3.19036,19.96657,23.15693,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
greedy_adam_bundle,40,41.63783,0.95576,0.15234,3.40186,0.00000,3.13989,9.94904,13.08893,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
greedy_adam_bundle,80,44.21860,0.97770,0.11318,2.31552,0.00000,7.38991,19.95923,27.34915,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
