phantom,method,scout_views,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v3,greedy_bundle_scout,8,40,384,360,0,37.75188,0.94071,0.23829,5.93728,0.47775,5.58506,1.97147,0.0
lof_flange_v3,greedy_bundle_scout,8,80,384,360,0,39.84072,0.96627,0.18736,4.62435,0.47775,5.55784,1.95772,0.0
lof_flange_v3,greedy_bundle_scout,16,40,384,360,0,39.47259,0.9418,0.19547,4.62937,0.47775,5.31079,1.97963,0.0
lof_flange_v3,greedy_bundle_scout,16,80,384,360,0,41.83177,0.96605,0.14898,3.43714,0.47775,5.31311,1.99537,0.0
lof_flange_v3,greedy_bundle_scout,32,40,384,360,0,39.71715,0.94365,0.19004,4.515,0.47775,5.31877,2.00163,0.0
lof_flange_v3,greedy_bundle_scout,32,80,384,360,0,41.85485,0.96487,0.14858,3.35044,0.47775,5.32018,2.00597,0.0
lof_flange_v3,greedy_bundle_scout,64,40,384,360,0,38.162,0.93993,0.2273,5.63869,0.47775,5.4669,1.97772,0.0
lof_flange_v3,greedy_bundle_scout,64,80,384,360,0,40.56841,0.96426,0.1723,4.14041,0.47775,5.56772,1.98831,0.0
lof_flange_v3,greedy_composite_scout,8,40,384,360,0,38.02062,0.94518,0.23103,5.79329,0.47775,5.65504,1.95283,0.0
lof_flange_v3,greedy_composite_scout,8,80,384,360,0,40.95698,0.96995,0.16476,3.89715,0.47775,6.7806,1.94913,0.0
lof_flange_v3,greedy_composite_scout,16,40,384,360,0,41.93272,0.94636,0.14725,2.91723,0.47775,6.64151,1.98747,0.0
lof_flange_v3,greedy_composite_scout,16,80,384,360,0,46.35348,0.97889,0.08852,1.44527,0.47775,5.58184,1.98063,0.0
lof_flange_v3,greedy_composite_scout,32,40,384,360,0,40.65015,0.94663,0.17069,3.83947,0.47775,5.56886,1.97386,0.0
lof_flange_v3,greedy_composite_scout,32,80,384,360,0,44.00867,0.97182,0.11595,2.18693,0.47775,5.587,1.98202,0.0
lof_flange_v3,greedy_composite_scout,64,40,384,360,0,38.9361,0.94389,0.20792,5.05618,0.47775,5.74644,1.96154,0.0
lof_flange_v3,greedy_composite_scout,64,80,384,360,0,41.56684,0.97024,0.15359,3.56076,0.47775,6.76791,1.96617,0.0
lof_flange_v3,vcls_scout,8,40,384,360,0,45.07538,0.97599,0.10255,1.9736,0.47775,3.87821,2.04495,0.0
lof_flange_v3,vcls_scout,8,80,384,360,0,48.29462,0.98594,0.07079,1.04004,0.47775,3.87821,1.94913,0.0
lof_flange_v3,vcls_scout,16,40,384,360,0,45.13291,0.97647,0.10187,1.95534,0.47775,3.87821,2.03577,0.0
lof_flange_v3,vcls_scout,16,80,384,360,0,48.28234,0.98661,0.07089,1.05212,0.47775,3.87821,1.95143,0.0
lof_flange_v3,vcls_scout,32,40,384,360,0,45.10375,0.97607,0.10222,1.95631,0.47775,3.87821,2.02958,0.0
lof_flange_v3,vcls_scout,32,80,384,360,0,48.38746,0.98688,0.07004,1.02014,0.47775,3.87821,1.95073,0.0
lof_flange_v3,vcls_scout,64,40,384,360,0,45.14916,0.97594,0.10168,1.93584,0.47775,3.87821,2.0163,0.0
lof_flange_v3,vcls_scout,64,80,384,360,0,48.35029,0.98666,0.07034,1.02901,0.47775,3.87821,1.95068,0.0
