phantom,method,scout_views,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v3,greedy_bundle_scout,8,40,384,360,3,41.67433,0.94837,0.1517,3.13437,0.47775,5.34086,1.96125,0.0
lof_flange_v3,greedy_bundle_scout,8,80,384,360,3,43.71777,0.96763,0.1199,2.38226,0.47775,5.30376,1.93068,0.0
lof_flange_v3,greedy_bundle_scout,16,40,384,360,3,41.20882,0.94582,0.16005,3.45981,0.47775,5.27779,1.9712,0.0
lof_flange_v3,greedy_bundle_scout,16,80,384,360,3,40.3026,0.96363,0.17765,4.27522,0.47775,5.20763,1.94529,0.0
lof_flange_v3,greedy_bundle_scout,32,40,384,360,3,39.63581,0.9383,0.19183,4.51431,0.47775,5.34608,1.98882,0.0
lof_flange_v3,greedy_bundle_scout,32,80,384,360,3,41.0767,0.9661,0.16251,3.94127,0.47775,5.41582,1.96954,0.0
lof_flange_v3,greedy_bundle_scout,64,40,384,360,3,40.74872,0.94574,0.16876,3.83666,0.47775,5.42815,1.98669,0.0
lof_flange_v3,greedy_bundle_scout,64,80,384,360,3,43.04551,0.96739,0.12955,2.86529,0.47775,5.4203,1.98496,0.0
lof_flange_v3,greedy_composite_scout,8,40,384,360,3,42.18362,0.94789,0.14306,2.99004,0.47775,5.49595,1.95142,0.0
lof_flange_v3,greedy_composite_scout,8,80,384,360,3,45.69599,0.97347,0.09548,1.72398,0.47775,5.48861,1.95897,0.0
lof_flange_v3,greedy_composite_scout,16,40,384,360,3,42.75482,0.95354,0.13396,2.60636,0.47775,5.28148,1.99448,0.0
lof_flange_v3,greedy_composite_scout,16,80,384,360,3,43.00548,0.97595,0.13015,2.98368,0.47775,5.24768,1.94485,0.0
lof_flange_v3,greedy_composite_scout,32,40,384,360,3,41.04665,0.94747,0.16307,3.65972,0.47775,5.50299,1.97545,0.0
lof_flange_v3,greedy_composite_scout,32,80,384,360,3,46.48023,0.97951,0.08724,1.39862,0.47775,6.71936,1.98708,0.0
lof_flange_v3,greedy_composite_scout,64,40,384,360,3,42.26018,0.94776,0.14181,2.74416,0.47775,6.02102,1.98618,0.0
lof_flange_v3,greedy_composite_scout,64,80,384,360,3,45.9305,0.97751,0.09293,1.60659,0.47775,6.84864,2.008,0.0
lof_flange_v3,vcls_scout,8,40,384,360,3,45.25401,0.97733,0.10046,1.92754,0.47775,3.87069,2.02787,0.0
lof_flange_v3,vcls_scout,8,80,384,360,3,48.37609,0.98629,0.07013,1.0244,0.47775,4.02015,1.95939,0.0
lof_flange_v3,vcls_scout,16,40,384,360,3,45.25706,0.9768,0.10043,1.9275,0.47775,3.87069,2.02383,0.0
lof_flange_v3,vcls_scout,16,80,384,360,3,48.35821,0.98674,0.07027,1.02389,0.47775,3.87069,1.95201,0.0
lof_flange_v3,vcls_scout,32,40,384,360,3,45.30821,0.9768,0.09984,1.91486,0.47775,3.87069,2.02016,0.0
lof_flange_v3,vcls_scout,32,80,384,360,3,48.39119,0.98677,0.07001,1.01531,0.47775,3.87069,1.95147,0.0
lof_flange_v3,vcls_scout,64,40,384,360,3,45.37399,0.97766,0.09908,1.89001,0.47775,3.87069,2.01832,0.0
lof_flange_v3,vcls_scout,64,80,384,360,3,48.42941,0.9868,0.0697,1.00299,0.47775,3.87069,1.9522,0.0
