constraint,condition,baseline,roi,n_selection,dpsnr_mean,dpsnr_sd,dpsnr_min,dpsnr_max,droi_psnr_mean,droi_psnr_sd,droi_psnr_min,droi_psnr_max,droi_ssim_mean,droi_ssim_sd,droi_ssim_min,droi_ssim_max,droi_hfen_mean,droi_hfen_sd,droi_hfen_min,droi_hfen_max
lamino,ours_cov,uniform_wedge,0,3,,,,,0.6126,0.0068,0.606,0.6219,-0.0,0.0006,-0.0007,0.0008,-0.003,0.0009,-0.0038,-0.0017
lamino,ours_cov,uniform_wedge,1,3,,,,,0.5792,0.02,0.5617,0.6072,0.0055,0.0022,0.0026,0.0078,-0.0216,0.0017,-0.024,-0.02
lamino,ours_cov,uniform_wedge,global,3,0.6086,0.0111,0.5957,0.6227,,,,,,,,,,,,
lamino,ours_roi_abs,uniform_wedge,0,3,0.5543,0.0575,0.4808,0.6212,0.5954,0.0238,0.5645,0.6224,0.0046,0.0008,0.0038,0.0057,0.0002,0.0013,-0.0009,0.002
lamino,ours_roi_abs,uniform_wedge,1,3,0.3592,0.046,0.2947,0.3984,0.223,0.0689,0.1365,0.3051,-0.0267,0.0056,-0.0329,-0.0194,0.0092,0.0035,0.0046,0.0131
lamino,vcls_wedge,uniform_wedge,0,3,,,,,0.526,0.0196,0.5069,0.553,0.0055,0.0013,0.0037,0.0068,-0.0023,0.0007,-0.0032,-0.0015
lamino,vcls_wedge,uniform_wedge,1,3,,,,,0.4628,0.0443,0.4126,0.5204,0.005,0.0031,0.002,0.0094,-0.0162,0.0028,-0.0194,-0.0125
lamino,vcls_wedge,uniform_wedge,global,3,0.5345,0.0104,0.5257,0.5491,,,,,,,,,,,,
wedge120,ours_cov,uniform_wedge,0,3,,,,,-0.0728,0.2114,-0.2887,0.2143,-0.1368,0.0302,-0.1677,-0.0959,0.1343,0.0314,0.0928,0.1687
wedge120,ours_cov,uniform_wedge,1,3,,,,,0.9425,0.1763,0.7347,1.1657,-0.0572,0.0138,-0.0737,-0.0399,0.097,0.0204,0.0726,0.1224
wedge120,ours_cov,uniform_wedge,global,3,-0.5845,0.1025,-0.7129,-0.4622,,,,,,,,,,,,
wedge120,ours_roi_abs,uniform_wedge,0,3,-0.4509,0.3925,-0.8032,0.0968,1.3299,1.6673,-0.1311,3.6633,0.0234,0.2045,-0.1677,0.3069,-0.0655,0.2416,-0.4031,0.1493
wedge120,ours_roi_abs,uniform_wedge,1,3,0.3623,0.5308,-0.3764,0.8469,1.6045,0.5281,0.8629,2.0522,-0.0229,0.0293,-0.0624,0.0077,0.0169,0.0393,-0.0113,0.0725
wedge120,vcls_wedge,uniform_wedge,0,3,,,,,10.208,0.1982,9.9296,10.3747,0.5284,0.0013,0.5266,0.5298,-0.9114,0.0115,-0.9269,-0.8993
wedge120,vcls_wedge,uniform_wedge,1,3,,,,,3.5724,0.0663,3.5073,3.6635,0.1478,0.0015,0.1459,0.1496,-0.2174,0.0013,-0.2186,-0.2156
wedge120,vcls_wedge,uniform_wedge,global,3,2.6069,0.0245,2.5743,2.6334,,,,,,,,,,,,
