example,k,median_deg,mean_deg,p95_deg,max_deg,frac_gt_1deg,frac_gt_10deg,mean_mm,max_mm
flange_sphere_warm_bundle_k20,20,5.974,5.725,10.774,12.783,0.95,0.1,49.92,111.33
flange_sphere_warm_bundle_k40,40,11.45,13.218,26.436,29.451,1.0,0.7,114.87,254.19
flange_sphere_warm_bundle_k80,80,12.095,15.368,38.668,52.189,0.9875,0.6,132.85,439.85
flange_greedy_adam_composite_k20,20,15.452,15.336,25.669,33.283,1.0,0.8,133.21,286.38
flange_greedy_adam_composite_k40,40,29.025,29.564,54.77,67.746,1.0,0.8,251.97,557.36
flange_greedy_adam_composite_k80,80,30.954,30.868,58.846,79.575,1.0,0.875,262.85,639.94
flange_greedy_adam_bundle_two_axis_k20,20,21.946,21.879,45.174,49.716,1.0,0.8,188.42,420.37
flange_greedy_adam_bundle_two_axis_k40,40,25.852,26.763,58.819,75.616,1.0,0.8,228.42,613.02
flange_greedy_adam_bundle_two_axis_k80,80,27.139,29.098,57.542,76.945,1.0,0.8125,248.24,622.14
flange_greedy_adam_bundle_carm_k20,20,9.155,11.935,31.724,34.013,0.95,0.5,103.46,292.48
flange_greedy_adam_bundle_carm_k40,40,15.001,17.605,36.896,59.499,1.0,0.7,151.93,496.21
flange_greedy_adam_bundle_carm_k80,80,20.94,21.273,41.444,58.361,0.9875,0.8125,183.57,487.56
flange_limited_wedge120_cov,60,6.834,7.066,13.229,16.613,0.9833,0.2333,61.59,144.47
flange_limited_wedge120_roi_abs,60,9.942,11.431,23.406,24.89,1.0,0.5,99.41,215.5
flange_limited_lamino_cov,60,5.816,6.062,11.675,13.84,0.9833,0.1333,52.85,120.48
flange_limited_lamino_roi_abs,60,15.105,17.403,41.666,47.305,0.9833,0.6167,150.17,401.19
flange_greedy_adam_circle_k80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flange_band_bundle_k80,80,14.346,15.97,38.287,45.472,1.0,0.75,138.32,386.48
