method,k,seed,psnr,ssim,nrmse,hfen
vcls,40,0,29.132,0.7713,0.1436,10.96
vcls,80,0,34.657,0.8805,0.076,8.02
greedy_adam_bundle,40,0,28.808,0.7719,0.149,11.64
greedy_adam_bundle,80,0,31.439,0.8362,0.1101,9.24
greedy_adam_bundle_fd,40,0,28.724,0.765,0.1505,12.0
greedy_adam_bundle_fd,80,0,31.587,0.8379,0.1082,8.93
vcls,40,1,29.075,0.7744,0.1445,11.31
vcls,80,1,34.87,0.884,0.0742,7.78
greedy_adam_bundle,40,1,28.773,0.7648,0.1497,11.95
greedy_adam_bundle,80,1,31.366,0.8381,0.111,9.29
greedy_adam_bundle_fd,40,1,29.029,0.7716,0.1453,11.89
greedy_adam_bundle_fd,80,1,31.688,0.8428,0.107,9.1
vcls,40,2,28.753,0.7648,0.15,11.29
vcls,80,2,34.894,0.8859,0.074,8.02
greedy_adam_bundle,40,2,28.914,0.7792,0.1472,11.81
greedy_adam_bundle,80,2,31.508,0.8385,0.1092,9.06
greedy_adam_bundle_fd,40,2,29.087,0.781,0.1443,11.49
greedy_adam_bundle_fd,80,2,31.418,0.8381,0.1104,9.08
