view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
0,134.5068,-7.2222,-705.1334,-693.0980,-125.2959
1,253.7948,-28.7586,838.9974,-243.8338,-479.5052
2,200.7540,1.9309,352.9659,-931.4420,33.5816
3,100.2088,-14.3947,-950.0713,-171.0958,-247.7654
4,329.1293,19.6201,481.6892,805.7782,334.6549
5,190.4099,-10.2141,177.2289,-964.7034,-176.7314
6,66.1025,8.9784,-900.0375,398.7943,155.5390
7,293.9501,-13.7296,884.8057,393.0176,-236.5435
8,98.4943,-3.8976,-983.4304,-146.8750,-67.7457
9,127.6621,-7.8023,-781.6662,-603.3151,-135.2990
10,166.7610,-19.5748,-215.0529,-914.0851,-333.9128
11,207.8204,23.9012,425.2477,-805.8578,403.7999
12,48.6370,4.4825,-745.7299,656.5948,77.8916
13,82.1318,16.8972,-944.6381,130.5453,289.6788
14,55.9671,-19.5960,-778.0972,525.4827,-334.2596
15,150.1882,5.7785,-492.9662,-860.3558,100.3451
16,271.1356,26.7046,890.1616,17.6455,447.8816
17,231.7302,-5.6534,778.6613,-614.2834,-98.1805
18,98.9820,3.8571,-982.1917,-155.2470,67.0424
19,282.1865,25.3502,880.3776,190.1274,426.7128
20,349.6292,-18.1816,170.4565,931.4137,-310.9824
21,121.6246,-8.9084,-838.4064,-516.2870,-154.3354
22,174.9808,-5.6418,-86.7737,-988.0118,-97.9785
23,219.2175,8.7149,622.8677,-763.2359,151.0089
24,135.6778,29.3460,-606.9886,-621.5227,488.4376
25,44.8257,-15.7140,-676.3276,680.4543,-269.9260
26,240.7565,-29.6584,755.6940,-423.0966,-493.1660
27,108.8528,0.5134,-943.1372,-322.0394,8.9296
28,82.9588,-7.5143,-980.6319,121.1229,-130.3350
29,262.0000,-27.3098,876.9373,-123.2448,-457.2619
30,1.7646,-23.3721,-28.1723,914.4326,-395.3685
31,116.8883,25.9581,-799.2188,-405.2612,436.2449
32,81.5257,3.4448,-983.9804,146.6061,59.8847
33,150.8638,27.9683,-428.5791,-768.8598,467.4093
34,289.6473,25.0674,850.2097,303.5374,422.2622
35,204.4650,4.6418,411.3937,-904.1830,80.6542
36,270.5514,-26.3050,893.3965,8.5975,-441.6623
37,34.3171,25.9398,-505.2727,740.2276,435.9580
38,192.0527,-4.0912,207.5801,-972.1891,-71.1039
39,95.9175,-19.5803,-934.0059,-96.8078,-334.0032
40,166.2267,0.9048,-237.2516,-967.8641,15.7386
41,298.1187,10.0604,865.4966,462.4950,174.1001
42,12.9177,-1.5729,-222.7168,971.0540,-27.3561
43,108.4172,-4.2383,-943.0098,-314.0129,-73.6572
44,356.0575,20.8095,64.0547,929.4242,354.0685
45,222.4260,-1.7238,672.0679,-735.3386,-29.9802
46,95.7476,3.5272,-989.7539,-99.6217,61.3159
47,157.0492,16.6731,-372.2919,-879.1644,285.9470
48,69.3196,-6.9172,-925.6370,349.4077,-120.0309
49,41.4900,-14.3509,-639.6616,723.2613,-247.0281
50,208.1505,-16.6721,450.4395,-841.8104,-285.9308
51,286.1441,23.2874,879.3495,254.5452,394.0155
52,186.9205,-8.9856,118.6134,-977.2397,-155.6614
53,145.5604,0.0981,-563.6375,-821.9530,1.7070
54,288.2871,24.9235,858.1797,283.6013,419.9938
55,350.3553,21.2435,155.6286,915.7902,361.1162
56,215.9676,1.8493,585.0507,-806.2123,32.1628
57,157.6946,-24.3644,-344.5804,-839.9490,-411.1533
58,132.0956,24.6018,-672.4036,-607.4692,414.9113
59,289.3081,-28.8217,824.0702,288.7160,-480.4667
60,358.2958,-13.9425,28.7665,966.8518,-240.1393
61,23.9085,-2.7715,-403.4441,910.0590,-48.1902
62,73.5309,-18.9728,-903.8306,267.1959,-324.0271
63,288.4197,26.1223,848.9968,282.7476,438.8111
64,43.6811,9.9172,-678.0403,709.9969,171.6475
65,109.8335,9.4493,-924.8036,-333.5606,163.6229
66,191.6342,18.2901,190.8311,-926.8505,312.7756
67,284.1943,11.5337,946.7047,239.4521,199.2735
68,62.5467,20.3949,-828.9672,430.6737,347.3191
69,262.2239,-27.7494,873.9105,-119.3393,-464.0425
70,119.0420,-5.6224,-867.1373,-481.4933,-97.6424
71,125.4451,-14.9519,-784.4468,-558.4068,-257.1418
72,56.0148,0.5329,-826.3625,557.0781,9.2692
73,108.1304,17.1953,-904.8242,-296.2743,294.6379
74,65.5995,-6.8906,-901.0672,408.7513,-119.5703
75,61.9261,-2.0749,-878.8024,468.7230,-36.0837
76,211.0064,25.9435,461.6667,-768.1473,436.0167
77,281.1454,-27.7743,865.1884,170.4560,-464.4251
78,145.0500,-19.2281,-539.0886,-771.3298,-328.2236
79,87.7362,-3.2418,-994.2714,39.3043,-56.3594
80,287.8624,10.8014,931.7941,300.2860,186.7754
81,213.0573,27.5241,482.1145,-740.7679,460.5706
82,332.3974,-4.2602,460.5054,880.7667,-74.0374
83,72.5421,21.3248,-885.6419,278.5270,362.4335
84,157.0433,-12.5765,-379.3994,-895.6891,-217.0115
85,163.0893,-25.0156,-262.7095,-864.0974,-421.4456
86,238.5938,-24.7554,772.4599,-471.6256,-417.3391
87,357.8831,-4.1680,36.7163,993.3286,-72.4375
88,131.0745,-19.0811,-710.0449,-618.8557,-325.8081
89,154.9948,-14.6994,-407.4927,-873.6646,-252.8967
90,185.1830,-20.9755,84.0682,-926.7939,-356.7666
91,233.1806,-18.5331,756.4651,-566.3082,-316.7848
92,344.6619,-20.8097,246.4295,898.4445,-354.0719
93,230.1161,13.8926,742.3984,-620.3859,239.2968
94,135.7536,-21.1086,-648.7414,-666.0345,-358.9283
95,213.8835,-22.0171,515.1138,-767.0459,-373.6245
96,172.6421,28.3243,-112.3558,-870.0971,472.8680
97,138.2249,-20.6456,-621.3317,-695.5287,-351.4024
98,23.9761,12.1396,-395.9351,890.2836,209.5886
99,218.0893,5.7674,611.7060,-780.4371,100.1531
100,96.9772,18.7710,-936.6457,-114.6267,320.7063
101,115.2505,-11.5162,-883.2676,-416.5864,-198.9748
102,153.5846,21.3978,-412.8199,-831.0594,363.6166
103,84.3480,17.2603,-947.1336,93.7353,295.7169
104,286.2160,27.9791,845.1379,245.7906,467.5745
105,22.9893,25.1888,-352.2348,830.2434,424.1736
106,111.1685,-2.4725,-928.5265,-359.5649,-42.9948
107,334.9611,10.1685,415.1873,888.7955,175.9516
108,331.9241,15.2686,452.5032,848.3231,262.4608
109,247.8373,-29.0831,806.6304,-328.5680,-484.4453
110,287.5861,25.6702,856.2948,271.4036,431.7362
111,259.3532,27.9158,865.5086,-162.7080,466.6024
112,326.0101,-25.8667,501.3472,743.5618,-434.8147
113,59.5703,6.1136,-854.4694,501.9092,106.1421
114,249.5154,-25.4716,842.8716,-314.8788,-428.6206
115,341.0014,-20.3652,304.1717,883.4490,-346.8349
116,284.8359,29.3412,839.8276,222.4556,488.3647
117,130.5149,-12.3930,-740.0300,-632.3774,-213.8952
118,1.2178,-12.6223,-20.6689,972.3361,-217.7897
119,49.3890,-1.4990,-756.3383,648.5134,-26.0714
120,91.9561,3.4624,-994.2439,-33.9578,60.1904
121,293.6546,4.7631,909.7529,398.4944,82.7572
122,326.5412,-29.1300,479.9862,726.3138,-485.1581
123,105.1500,13.5465,-935.2416,-253.2236,233.4477
124,266.5733,-19.3446,938.6945,-56.2083,-330.1366
125,234.9723,4.5309,813.5753,-570.2573,78.7324
126,73.8106,-5.3931,-952.8843,276.6477,-93.6720
127,167.3520,25.9243,-196.2662,-874.6017,435.7158
128,127.6133,-25.4107,-713.1094,-549.4323,-427.6633
129,288.8075,20.2454,885.1433,301.4571,344.8795
130,68.5840,-22.2591,-858.6874,336.7924,-377.5232
131,92.9885,-11.2405,-976.1954,-50.9639,-194.2734
132,343.4093,-11.9058,278.4527,934.6045,-205.6098
133,251.7972,-8.2491,936.9722,-308.1107,-142.9956
134,288.6487,20.9668,881.7910,297.5903,356.6254
135,179.7510,11.5833,-4.2428,-976.3358,200.1186
136,316.3518,12.7913,670.8397,703.2648,220.6569
137,58.2231,27.4144,-752.1042,465.9054,458.8771
138,263.4337,-28.4194,870.7849,-100.2338,-474.3246
139,102.9023,11.0605,-953.4347,-218.4068,191.2006
140,331.6671,-23.5052,433.7532,804.4593,-397.4926
141,159.7596,-10.9276,-338.5457,-918.1440,-188.9319
142,273.7833,0.7131,994.3939,65.7569,12.4030
143,348.0587,-29.6425,179.2274,847.4656,-492.9265
144,225.1017,-29.3964,615.0836,-612.9045,-489.2007
145,140.5571,1.7087,-632.8942,-769.3235,29.7174
146,29.9116,-16.3391,-476.9175,828.9963,-280.3778
147,105.8698,2.9898,-957.3516,-272.1631,51.9826
148,219.2085,-22.9942,579.9631,-710.8903,-389.3258
149,353.9968,21.9285,96.6918,919.4661,372.1960
150,313.5373,-25.5047,652.0858,619.6129,-429.1396
151,154.4694,9.8076,-423.2692,-886.1824,169.7675
152,169.2323,9.4557,-183.6701,-965.7917,163.7328
153,306.9041,-23.4824,730.9553,548.8988,-397.1289
154,35.6645,-3.4348,-580.0362,808.2632,-59.7109
