view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
0,55.9740,-12.9198,-805.0904,543.5717,-222.8366
1,98.7871,14.9816,-951.4657,-147.0755,257.6406
2,178.0679,-15.4909,-32.3816,-959.8917,-266.1885
3,100.6901,9.4918,-965.9379,-182.3429,164.3536
4,288.4810,27.4309,838.9678,280.4056,459.1324
5,10.2323,-22.8461,-163.1541,903.8495,-386.9544
6,82.6980,10.0052,-973.5259,124.7459,173.1551
7,329.8563,-28.1290,441.3722,760.0689,-469.8752
8,62.0500,-9.2651,-868.9061,461.0324,-160.4620
9,23.4999,-20.0167,-373.4026,858.7712,-341.1442
10,286.7748,28.2536,840.5460,253.3726,471.7856
11,277.3889,29.3574,861.4396,111.7122,488.6093
12,153.9825,-7.3942,-433.5377,-888.1949,-128.2639
13,181.9168,-18.6607,31.5833,-943.7209,-318.8889
14,127.0964,-1.5376,-794.6580,-600.9162,-26.7426
15,12.1994,-23.5226,-193.1046,893.1884,-397.7714
16,257.3423,-29.6714,844.9159,-189.7552,-493.3629
17,131.4646,-4.6591,-744.3818,-657.7530,-80.9543
18,97.8825,22.1671,-914.2574,-126.5784,376.0427
19,159.8431,-11.8439,-336.1244,-915.6819,-204.5577
20,120.3847,3.2989,-858.3281,-503.2700,57.3516
21,168.2350,-20.3539,-190.5250,-914.7844,-346.6505
22,36.6681,-17.0664,-568.9652,764.2136,-292.4946
23,108.5385,19.7730,-889.2143,-298.1919,337.1594
24,150.2646,-8.2429,-489.2237,-856.4694,-142.8888
25,9.5485,-22.4886,-152.7529,908.0957,-381.2161
26,101.0694,19.1820,-923.7963,-180.7288,327.4667
27,86.7829,12.8592,-970.1158,54.5290,221.8080
28,287.3922,27.9764,839.9353,263.0938,467.5332
29,99.6889,19.0542,-928.5995,-158.5437,325.3671
30,284.2797,29.0125,844.6487,214.9802,483.3724
31,216.5810,-19.6996,559.1946,-753.4793,-335.9572
32,11.9929,-23.9053,-189.3279,891.2599,-403.8659
33,148.5280,-10.6407,-511.3824,-835.4149,-184.0301
34,1.5374,-23.3775,-24.5444,914.4996,-395.4555
35,93.1722,15.6885,-958.0436,-53.0972,269.4997
36,5.8589,-22.8288,-93.7670,913.7759,-386.6760
37,134.1711,-4.4246,-712.7233,-692.3950,-76.8874
38,97.6684,19.3508,-931.9306,-125.4790,330.2383
39,350.6655,-27.0685,143.9471,875.7221,-453.5272
40,78.1507,3.2324,-973.8537,204.3225,56.1974
41,252.9426,-29.2879,831.0078,-254.9754,-487.5557
42,238.3054,-29.0898,741.0358,-457.5764,-484.5480
43,246.7749,-29.1320,800.0192,-343.3036,-485.1895
44,21.2126,-21.2812,-336.0255,865.7585,-361.7266
45,101.2469,14.5168,-946.2952,-188.1774,249.8230
46,2.8809,-24.2653,-45.6663,907.4432,-409.5832
47,332.7631,-28.0181,402.6747,782.2815,-468.1727
48,316.9757,-28.6219,596.9192,639.5745,-477.4189
49,224.8471,-23.2003,646.0121,-649.4703,-392.6241
50,87.5030,19.2909,-939.7918,40.9821,329.2549
51,101.1948,19.1462,-923.5992,-182.7897,326.8779
52,16.9816,-21.1190,-271.5334,889.1663,-359.0959
53,284.4911,28.4250,848.6044,219.3233,474.4100
54,287.2321,27.6981,842.8265,261.4160,463.2516
55,188.4166,-21.0148,136.1756,-920.3341,-357.4048
56,98.7293,24.8796,-893.6747,-137.2184,419.3012
57,32.3893,-16.2377,-512.5741,808.0223,-278.6836
58,286.8900,27.8505,843.1902,256.0199,465.5974
59,288.5101,28.0216,834.2926,279.3142,468.2269
60,98.1379,17.6692,-940.0637,-134.4252,302.5014
61,25.6877,-20.0344,-405.8688,843.7952,-341.4341
62,15.0721,-23.0051,-238.5503,885.8217,-389.5005
63,99.8567,9.3698,-968.8304,-168.3338,162.2597
64,98.0817,19.4353,-930.5179,-132.1293,331.6252
65,94.9757,18.9904,-938.8472,-81.7369,324.3176
66,343.8119,-23.8775,254.0754,875.2098,-403.4235
67,55.3833,-15.2066,-791.4896,546.3528,-261.4189
68,173.4830,-16.7593,-108.3128,-948.1434,-287.3833
69,334.7736,-27.2302,377.6903,801.6751,-456.0306
70,242.2939,-29.0348,771.4802,-405.1408,-483.7108
71,232.6235,-25.0894,717.2690,-547.9274,-422.6081
72,247.5578,-29.7166,800.0183,-330.4333,-494.0460
73,175.3286,-18.6542,-76.9039,-941.1487,-318.7819
74,23.1834,-20.4168,-367.7064,858.6094,-347.6764
75,100.5906,19.0721,-925.8899,-173.1180,325.6610
76,313.5820,-28.5295,634.2899,603.6472,-476.0076
77,124.1597,0.3390,-824.6833,-559.6066,5.8961
78,41.5661,-16.1766,-635.0760,716.1555,-277.6630
79,287.3060,27.8046,841.6649,262.2453,464.8920
80,288.0096,27.9592,837.1851,272.1725,467.2688
81,97.8022,19.3438,-931.6746,-127.6606,330.1244
82,154.1463,-11.8997,-425.2704,-877.6153,-205.5072
83,88.7363,14.7269,-963.6672,21.2585,253.3585
84,73.7362,-0.0832,-956.7585,279.1196,-1.4465
85,170.6599,-14.0461,-156.9139,-954.0257,-241.8882
86,117.0178,4.4120,-885.2439,-451.4001,76.6689
87,284.6021,28.6317,846.5162,220.5341,477.5687
88,310.5179,-28.5624,665.4428,568.7012,-476.5100
89,339.5887,-25.5194,313.6762,842.9388,-429.3697
90,9.2698,-24.3519,-146.2590,896.1143,-410.9556
91,92.9562,15.8059,-957.6838,-49.4561,271.4642
92,101.3156,17.4833,-932.1240,-186.5204,299.4193
93,32.3685,-18.7025,-505.3911,797.3376,-319.5771
94,303.2107,-28.7092,731.3469,478.7751,-478.7516
95,287.9589,27.4261,841.5250,272.7602,459.0584
96,354.8030,-26.1790,81.0158,890.7306,-439.6957
97,14.6888,-22.5390,-233.4152,890.4333,-382.0247
98,172.1230,-13.8170,-132.6339,-958.6719,-238.0195
99,158.0169,-9.0637,-368.4181,-912.6418,-157.0029
100,132.3716,-4.7092,-733.8232,-669.4068,-81.8223
101,99.5194,18.8012,-930.4725,-156.0324,321.2034
102,87.6062,11.4251,-976.0414,40.8031,197.4213
103,98.1379,-10.6722,-969.5411,-138.6405,-184.5690
104,75.8012,0.9909,-966.0513,244.4276,17.2347
105,287.2651,27.9091,841.0412,261.3925,466.4982
106,100.9906,14.9172,-945.3909,-183.6048,256.5585
107,257.2064,-29.6588,844.5695,-191.7823,-493.1721
108,78.0313,3.6550,-972.9939,206.2602,63.5343
109,291.5278,27.4332,822.8613,324.5945,459.1672
110,97.7051,19.3060,-932.1056,-126.1105,329.5028
111,14.6787,-21.7307,-234.6000,895.5991,-369.0014
112,86.3730,9.4588,-981.1235,62.1920,163.7858
