step,coverage,mean_tau_bar
0.000000000000000000e+00,9.983426928520202637e-01,2.734261751174926758e-01
1.000000000000000000e+00,9.986560940742492676e-01,2.675626873970031738e-01
2.000000000000000000e+00,9.987450838088989258e-01,2.639805972576141357e-01
3.000000000000000000e+00,9.987431764602661133e-01,2.553402185440063477e-01
4.000000000000000000e+00,9.987694025039672852e-01,2.534479200839996338e-01
5.000000000000000000e+00,9.984832406044006348e-01,2.472667396068572998e-01
6.000000000000000000e+00,9.985482692718505859e-01,2.450605779886245728e-01
7.000000000000000000e+00,9.986291527748107910e-01,2.423270195722579956e-01
8.000000000000000000e+00,9.986204504966735840e-01,2.407917231321334839e-01
9.000000000000000000e+00,9.985120296478271484e-01,2.377832531929016113e-01
1.000000000000000000e+01,9.984575510025024414e-01,2.359130382537841797e-01
1.100000000000000000e+01,9.984361529350280762e-01,2.342967540025711060e-01
1.200000000000000000e+01,9.984105825424194336e-01,2.347314357757568359e-01
1.300000000000000000e+01,9.984180331230163574e-01,2.343968898057937622e-01
1.400000000000000000e+01,9.985412359237670898e-01,2.310255765914916992e-01
1.500000000000000000e+01,9.984660148620605469e-01,2.301434129476547241e-01
1.600000000000000000e+01,9.984861016273498535e-01,2.244836390018463135e-01
1.700000000000000000e+01,9.985608458518981934e-01,2.258378565311431885e-01
1.800000000000000000e+01,9.984358549118041992e-01,2.262188494205474854e-01
1.900000000000000000e+01,9.983040094375610352e-01,2.241550236940383911e-01
2.000000000000000000e+01,9.982482194900512695e-01,2.235910743474960327e-01
2.100000000000000000e+01,9.980743527412414551e-01,2.229786217212677002e-01
2.200000000000000000e+01,9.977749586105346680e-01,2.231084406375885010e-01
2.300000000000000000e+01,9.974465966224670410e-01,2.211106866598129272e-01
2.400000000000000000e+01,9.972925782203674316e-01,2.175921201705932617e-01
2.500000000000000000e+01,9.969476461410522461e-01,2.167327702045440674e-01
2.600000000000000000e+01,9.967112541198730469e-01,2.164135873317718506e-01
2.700000000000000000e+01,9.971674680709838867e-01,2.145002186298370361e-01
2.800000000000000000e+01,9.972808361053466797e-01,2.129336446523666382e-01
2.900000000000000000e+01,9.972894191741943359e-01,2.121502012014389038e-01
3.000000000000000000e+01,9.970473051071166992e-01,2.124846577644348145e-01
3.100000000000000000e+01,9.968788027763366699e-01,2.129340469837188721e-01
3.200000000000000000e+01,9.969399571418762207e-01,2.092323303222656250e-01
3.300000000000000000e+01,9.968262910842895508e-01,2.073280513286590576e-01
3.400000000000000000e+01,9.973217248916625977e-01,2.071920931339263916e-01
3.500000000000000000e+01,9.977607727050781250e-01,2.076780498027801514e-01
3.600000000000000000e+01,9.976463913917541504e-01,2.092987895011901855e-01
3.700000000000000000e+01,9.976257681846618652e-01,2.081994712352752686e-01
3.800000000000000000e+01,9.975942969322204590e-01,2.072733044624328613e-01
3.900000000000000000e+01,9.976522922515869141e-01,2.112734913825988770e-01
4.000000000000000000e+01,9.972723126411437988e-01,2.079389840364456177e-01
4.100000000000000000e+01,9.972095489501953125e-01,2.047280818223953247e-01
4.200000000000000000e+01,9.972943663597106934e-01,2.051443755626678467e-01
4.300000000000000000e+01,9.976179599761962891e-01,2.094562500715255737e-01
4.400000000000000000e+01,9.976611733436584473e-01,2.059284895658493042e-01
4.500000000000000000e+01,9.974090456962585449e-01,2.070951163768768311e-01
4.600000000000000000e+01,9.972054958343505859e-01,2.069953680038452148e-01
4.700000000000000000e+01,9.973905086517333984e-01,2.053758054971694946e-01
4.800000000000000000e+01,9.974197149276733398e-01,2.046675235033035278e-01
4.900000000000000000e+01,9.973212480545043945e-01,2.036691009998321533e-01
5.000000000000000000e+01,9.972827434539794922e-01,2.039979845285415649e-01
5.100000000000000000e+01,9.970986843109130859e-01,2.038032412528991699e-01
5.200000000000000000e+01,9.972933530807495117e-01,2.038416862487792969e-01
5.300000000000000000e+01,9.971528649330139160e-01,2.037600427865982056e-01
5.400000000000000000e+01,9.968821406364440918e-01,2.028863281011581421e-01
5.500000000000000000e+01,9.966652393341064453e-01,2.027377635240554810e-01
5.600000000000000000e+01,9.970192909240722656e-01,2.015729993581771851e-01
5.700000000000000000e+01,9.973443746566772461e-01,2.014642804861068726e-01
5.800000000000000000e+01,9.975454807281494141e-01,2.001665979623794556e-01
5.900000000000000000e+01,9.977347850799560547e-01,2.007663995027542114e-01
6.000000000000000000e+01,9.979228973388671875e-01,2.003734558820724487e-01
6.100000000000000000e+01,9.976670742034912109e-01,2.004715353250503540e-01
6.200000000000000000e+01,9.971435666084289551e-01,2.003434002399444580e-01
6.300000000000000000e+01,9.967963099479675293e-01,1.992547512054443359e-01
6.400000000000000000e+01,9.967377185821533203e-01,1.996697038412094116e-01
6.500000000000000000e+01,9.966816902160644531e-01,1.988086998462677002e-01
6.600000000000000000e+01,9.967618584632873535e-01,1.981762796640396118e-01
6.700000000000000000e+01,9.966537952423095703e-01,1.962937116622924805e-01
6.800000000000000000e+01,9.965299963951110840e-01,1.949625313282012939e-01
6.900000000000000000e+01,9.958212375640869141e-01,1.956383138895034790e-01
7.000000000000000000e+01,9.954694509506225586e-01,1.961072236299514771e-01
7.100000000000000000e+01,9.951955676078796387e-01,1.954316496849060059e-01
7.200000000000000000e+01,9.949836730957031250e-01,1.952058523893356323e-01
7.300000000000000000e+01,9.948167204856872559e-01,1.954887509346008301e-01
7.400000000000000000e+01,9.946653842926025391e-01,1.951728463172912598e-01
7.500000000000000000e+01,9.947277307510375977e-01,1.938719451427459717e-01
7.600000000000000000e+01,9.945751428604125977e-01,1.933896243572235107e-01
7.700000000000000000e+01,9.950584769248962402e-01,1.916788816452026367e-01
7.800000000000000000e+01,9.955423474311828613e-01,1.920006871223449707e-01
7.900000000000000000e+01,9.960752725601196289e-01,1.916566044092178345e-01
8.000000000000000000e+01,9.959537982940673828e-01,1.910275071859359741e-01
8.100000000000000000e+01,9.960024356842041016e-01,1.914630681276321411e-01
8.200000000000000000e+01,9.964449405670166016e-01,1.914994567632675171e-01
8.300000000000000000e+01,9.955923557281494141e-01,1.900565624237060547e-01
8.400000000000000000e+01,9.945937991142272949e-01,1.899355798959732056e-01
8.500000000000000000e+01,9.941330552101135254e-01,1.888855099678039551e-01
8.600000000000000000e+01,9.945390820503234863e-01,1.882909983396530151e-01
