view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
0,260.1880,17.6888,935.6296,-161.8132,302.8248
1,276.2213,-35.0000,811.5908,88.4729,-571.6486
2,169.5151,-25.3781,-163.8625,-885.4277,-427.1487
3,79.8037,35.0000,-803.5054,144.5202,571.6486
4,123.7635,-29.4630,-721.3919,-482.2639,-490.2086
5,170.0728,24.1735,-156.7505,-895.6299,408.1246
6,157.8868,-20.7573,-350.8206,-863.3946,-353.2193
7,276.1324,35.0000,811.7272,87.2124,571.6486
8,353.7288,-2.6408,108.7519,989.6229,-45.9200
9,341.4730,-16.1551,304.1777,907.6718,-277.3034
10,36.6581,3.0066,-594.2123,798.4161,52.2756
11,315.5705,35.0000,571.5046,583.0005,571.6486
12,91.5711,35.0000,-816.0920,-22.3831,571.6486
13,75.5354,18.7391,-913.8913,235.7467,320.1804
14,161.4438,35.0000,-259.8068,-773.9557,571.6486
15,247.1521,31.8065,780.5218,-328.8690,525.2809
16,205.4042,-17.7840,407.1289,-857.2483,-304.4022
17,63.4130,35.0000,-730.0691,365.3850,571.6486
18,286.5889,19.8292,898.5236,267.6713,338.0780
19,323.2549,9.5286,588.0188,787.5933,164.9842
20,241.0425,-32.9104,732.0942,-405.0975,-541.5010
21,265.5284,-35.0000,813.9138,-63.6507,-571.6486
22,46.4376,-35.0000,-591.5823,562.6166,-571.6486
23,207.1023,-35.0000,371.9354,-726.7538,-571.6486
24,58.6627,-10.6687,-836.5351,509.3672,-184.5082
25,341.9326,8.3978,305.7795,937.3379,145.5540
26,47.2264,12.8581,-713.2303,659.8494,221.7892
27,225.6710,20.3733,668.3368,-652.8632,346.9652
28,177.4553,-3.5889,-44.1629,-993.7036,-62.3874
29,74.6480,21.7132,-892.8857,245.1370,368.7170
30,66.9085,2.5781,-915.8601,390.4868,44.8299
31,16.5669,-4.5111,-283.2962,952.3066,-78.3871
32,201.0377,27.7758,316.5520,-823.0272,464.4463
33,286.5374,27.9486,843.9810,250.5977,467.1041
34,281.7590,9.4600,962.4539,200.3478,163.8060
35,103.9667,35.0000,-792.2631,-197.0440,571.6486
36,349.4148,-35.0000,149.9704,802.5060,-571.6486
37,20.5841,-30.6671,-301.3954,802.5247,-508.3347
38,149.7639,13.0304,-488.9491,-838.8820,224.7108
39,6.9376,-27.5240,-106.7571,877.3658,-460.5664
40,292.6104,6.0048,914.9894,381.0685,104.2610
41,173.3498,-13.0551,-112.4342,-964.3467,-225.1295
42,44.6923,-10.3898,-689.4431,696.8870,-179.7385
43,113.3974,-8.0971,-905.5695,-391.8253,-140.3785
44,313.7637,-14.8105,695.8576,666.4583,-254.7640
45,214.6613,28.6642,497.3477,-719.2985,478.0631
46,303.5302,0.8513,830.7014,550.4590,14.8075
47,271.7992,-35.0000,815.9963,25.6328,-571.6486
48,279.4624,-35.0000,805.2906,134.2167,-571.6486
49,131.0788,-11.8979,-735.1329,-640.8186,-205.4759
50,145.5439,33.1053,-472.3384,-688.3860,544.3441
51,314.5265,4.7222,708.1187,696.5095,82.0481
52,100.1650,5.8232,-975.9330,-174.9835,101.1173
53,267.1286,35.0000,815.3739,-40.8964,571.6486
54,1.3097,25.6968,-20.5266,897.8376,432.1521
55,340.9279,-35.0000,266.7649,771.5851,-571.6486
56,59.6592,23.1216,-791.0441,463.0044,391.3635
57,94.1878,35.0000,-814.2191,-59.6188,571.6486
58,319.9655,35.0000,525.1475,625.0818,571.6486
