view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
0,255.2508,21.1642,899.1787,-236.7209,359.9832
1,259.9856,-20.4766,919.8381,-162.4306,-348.7995
2,172.9290,-17.2227,-117.2343,-945.1185,-295.2189
3,97.8642,26.2782,-885.6187,-122.3252,441.4330
4,136.2405,-25.5295,-622.2750,-649.8218,-429.7121
5,190.0121,17.7738,165.0723,-935.0187,304.3652
6,136.7307,-7.5512,-677.4925,-719.7101,-131.0275
7,275.0542,21.4705,924.2710,81.7449,364.9491
8,5.6287,-11.3823,-95.8708,972.7459,-196.7768
9,12.2432,-14.3270,-204.8648,944.0876,-246.7309
10,29.1363,-12.7534,-473.4846,849.4183,-220.1088
11,310.9080,21.0843,703.0986,609.2155,358.6865
12,105.4560,13.9356,-932.7255,-257.8959,240.1246
13,65.4910,25.6504,-817.8241,372.8586,431.6100
14,117.7773,17.1549,-842.9255,-443.9979,294.0909
15,250.6696,16.7617,900.8851,-316.0225,287.5461
16,238.8118,-24.0505,778.9153,-471.5082,-406.3471
17,74.8685,20.5371,-901.3289,243.7286,349.7852
18,299.5307,9.0634,856.7100,485.3095,157.0658
19,323.7761,-5.4721,586.5247,800.6843,-95.0809
20,261.1703,-12.0172,963.6611,-149.6944,-207.5959
21,267.1652,-12.4016,972.6121,-48.1604,-214.1339
22,54.6145,-14.5763,-786.7214,558.7933,-250.9315
23,178.8568,-24.0437,-18.1671,-910.3770,-406.2398
24,52.5274,-16.0084,-760.6318,583.0762,-274.9698
25,328.7510,12.1292,505.6913,833.3861,209.5014
26,41.6756,20.8585,-619.5145,695.9248,355.0176
27,236.0714,13.6883,803.8045,-540.7165,235.9470
28,162.3579,-21.8512,-280.4708,-881.9085,-371.1070
29,68.7601,19.3660,-876.7574,340.7742,330.6302
30,61.9713,-9.6513,-867.6679,461.9057,-167.1599
31,67.2858,10.6748,-903.8223,378.3402,184.6919
32,242.9464,21.1768,828.0069,-422.8660,360.1887
33,300.4956,13.8533,834.1515,491.2674,238.7354
34,282.1712,-7.2138,966.9424,208.5508,-125.2034
35,75.8055,9.4621,-953.4762,241.1693,163.9132
36,15.7823,-23.4989,-248.6955,879.9097,-397.5632
37,3.0484,-14.6919,-51.2903,963.1037,-252.8785
38,137.6125,22.8468,-619.4318,-678.6611,387.1308
39,358.0248,-23.6877,31.4701,912.5225,-400.5737
40,290.7155,8.5094,922.3408,348.8082,147.5378
41,155.7573,-8.7176,-404.6692,-898.6392,-151.1202
42,61.2483,-19.7169,-822.8926,451.4866,-336.3846
43,128.1781,-14.3505,-759.3333,-597.0667,-247.1261
44,327.1560,-22.4854,499.6529,774.0046,-381.3278
45,231.8754,18.6421,743.2120,-583.2678,318.7188
46,314.3143,-19.2996,673.3300,657.4026,-329.5386
47,253.6605,-16.5851,916.9934,-268.8346,-284.6018
48,324.7494,-27.3733,511.0276,723.0714,-458.4382
49,155.7035,-20.8373,-383.4204,-849.3191,-354.6729
50,133.3970,3.8464,-722.8488,-683.4933,66.8845
51,305.0740,10.4575,802.4584,563.4324,180.9740
52,110.0529,15.3377,-903.2642,-329.7056,263.7330
53,284.4498,21.3225,899.4367,231.7702,362.5508
54,353.9685,20.6481,98.0367,927.8561,351.5945
55,11.9455,-26.7377,-184.3079,871.1752,-448.5883
56,61.3742,22.3776,-809.2881,441.7112,379.5931
57,79.0946,24.6963,-889.5129,171.3804,416.5842
58,332.4895,21.5388,428.3957,822.5737,366.0558
59,301.2872,-23.9485,778.7166,473.2281,-404.7254
60,349.8652,27.5830,155.5083,869.9541,461.6753
61,310.6115,9.3585,746.8419,640.3800,162.1351
62,36.9802,-22.4675,-554.2501,736.0450,-381.0401
63,113.5913,17.4714,-871.5840,-380.6279,299.3506
64,165.5444,19.6649,-234.3813,-909.1921,335.5326
65,293.8532,9.3012,899.9147,397.9083,161.1506
66,79.3917,-6.2876,-974.1328,182.4502,-109.1981
67,244.1140,1.9679,896.4990,-435.0450,34.2395
68,128.3730,21.4840,-727.3762,-575.9539,365.1685
