view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
0,344.7010,25.6998,237.0589,866.5986,432.3853
1,283.9504,26.2119,868.1525,215.6569,440.3980
2,128.4943,13.7573,-757.9881,-602.8087,237.1134
3,168.9099,28.7560,-168.1363,-857.7842,479.6700
4,78.5003,24.7808,-887.0850,180.4745,417.9189
5,340.5904,12.7397,323.1878,917.2518,219.8766
6,37.1541,24.1707,-549.3961,725.0090,408.2560
7,254.3247,27.0868,854.6929,-239.8465,454.0051
8,271.7077,27.8310,881.3451,26.2760,465.4969
9,165.3461,18.0128,-239.8750,-917.3572,308.3226
10,26.8624,20.6919,-421.4636,832.1028,352.3071
11,124.2823,-25.9040,-741.0757,-505.1927,-435.5848
12,292.2614,26.6184,824.9501,337.6879,446.7338
13,245.5814,-27.4117,805.9449,-365.9090,-459.0320
14,102.8075,-22.0283,-901.2860,-204.8912,-373.9655
15,274.3814,-13.3397,967.3325,74.1168,-230.0474
16,103.8332,14.9977,-935.1711,-230.2751,258.0223
17,57.3847,-14.7093,-812.3155,519.8027,-253.1715
18,206.7992,10.0025,442.7110,-876.4484,173.1825
19,146.0918,12.7715,-542.4678,-807.0270,220.4155
20,134.5870,-25.9136,-638.7001,-629.5591,-435.7346
21,153.5467,-17.1569,-424.3973,-852.9505,-294.1248
22,43.7423,-23.6966,-631.2645,659.6049,-400.7161
23,140.8832,-24.0892,-574.2706,-706.2166,-406.9623
24,45.8002,26.9590,-637.1345,619.5812,452.0240
25,127.2814,22.7390,-731.6767,-557.0121,385.4009
26,338.8423,23.3769,330.3374,853.5296,395.6154
27,68.5373,24.3866,-845.1387,332.2733,411.6819
28,339.2116,-18.0607,336.4420,886.2286,-309.1157
29,114.2893,-29.3816,-791.9094,-357.3835,-489.1866
30,287.3337,-14.0064,923.4904,288.2304,-241.3205
31,97.5655,-21.1212,-921.9898,-122.4542,-359.2865
32,285.9377,-28.8235,839.9634,239.8671,-480.6997
33,109.4545,25.7162,-847.0261,-299.1910,432.6415
34,57.6375,-9.4600,-830.7496,526.4469,-163.8772
35,37.7234,12.1683,-596.3506,770.9365,210.1661
36,218.3833,20.7114,579.0891,-731.0672,352.6240
37,12.8702,12.8211,-216.5529,947.7853,221.2577
38,264.1389,17.8879,943.9100,-96.8959,306.2552
39,144.8441,-19.6955,-540.5287,-767.5003,-336.0343
40,72.2312,17.4853,-905.6321,290.2230,299.5801
41,306.1572,9.9521,792.9208,579.4222,172.3180
42,209.8554,-20.6210,464.5528,-809.3388,-351.1529
43,326.6147,-20.3242,514.4963,780.7095,-346.3138
44,53.2706,27.4254,-709.3077,529.2688,459.2431
45,17.2820,-28.7746,-259.6285,834.4959,-479.9548
46,149.8671,24.0532,-457.0729,-787.4509,406.3895
47,358.1769,20.2924,29.7519,934.7128,345.7946
48,295.1579,-18.2116,857.2803,402.6360,-311.6115
49,210.6399,12.0603,496.9319,-838.9310,208.3283
