view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
0,3.4233,0.8662,-59.5304,995.1763,15.0730
1,271.2846,-29.4371,868.1248,19.4678,-490.0279
2,3.5167,-28.5461,-53.7244,874.2089,-476.4656
3,18.3972,29.5114,-273.8510,823.3603,491.1523
4,220.0318,-16.2053,615.8456,-733.1107,-278.2621
5,304.7377,15.1267,790.9709,548.4649,260.1888
6,60.4861,-28.8783,-759.7866,430.1107,-481.5352
7,8.6099,-27.9411,-131.8680,870.9143,-467.1896
8,198.0842,-10.4085,304.4111,-932.2189,-180.1358
9,167.0061,-16.9350,-214.4662,-929.4087,-290.4322
10,95.1579,15.4225,-957.2739,-86.4095,265.1550
11,34.0105,-29.8176,-483.8724,717.0873,-495.7825
12,146.1098,29.3816,-484.4555,-721.2125,489.1853
13,325.2955,-16.8705,543.2451,784.4128,-289.3585
14,119.0589,-9.5517,-859.4757,-477.5711,-165.4514
15,81.7754,8.0156,-977.1733,141.2408,139.0337
16,331.3783,-13.6159,464.1974,850.6313,-234.7213
17,294.7954,-29.2924,789.4131,364.6830,-487.8324
18,139.5746,-19.7982,-608.3403,-714.1547,-337.7161
19,175.9076,6.7810,-70.6575,-987.5699,117.7294
20,77.6627,-27.2586,-865.8747,189.3812,-456.6649
21,5.1249,29.5366,-77.4908,864.0228,491.5351
22,282.1207,4.7623,971.4764,208.6340,82.7793
23,288.8926,7.1082,936.1041,320.3646,123.3800
24,191.8721,-12.4411,200.3081,-952.8290,-214.8038
25,272.8514,-0.3866,995.8121,49.5981,-6.7282
26,340.2979,28.9128,294.2434,821.6959,482.0617
27,324.7346,26.9659,513.0832,725.5826,452.1309
28,146.3971,-16.0931,-530.1877,-797.9090,-276.3860
29,202.9994,-9.5879,384.1342,-904.9905,-166.0729
30,315.1923,20.9604,656.1672,660.5867,356.6747
31,104.4838,19.4771,-910.1368,-235.1033,332.4522
32,285.7039,-29.1789,838.0483,235.6261,-486.1094
33,110.3545,-29.3281,-814.9950,-302.3571,-488.3752
34,11.3678,29.6681,-170.7660,849.3648,493.5236
35,250.0392,5.3437,933.0989,-338.8968,92.8572
36,108.5212,-14.8861,-913.6971,-306.0944,-256.1461
37,357.7698,29.7455,33.6878,865.0378,494.6936
38,259.1133,23.2967,899.2960,-172.9609,394.3328
39,237.6742,-23.6725,771.6484,-488.3031,-400.3322
40,100.6255,-29.5030,-852.8998,-160.0086,-491.0257
41,70.8667,27.2246,-837.6357,290.6034,456.1394
42,185.8865,-14.0072,99.2171,-962.3205,-241.3345
43,132.4890,-24.6072,-668.4732,-612.3072,-415.1751
44,154.0994,-18.8632,-412.1400,-848.7465,-322.3615
45,77.2213,6.0724,-966.9174,219.3006,105.4753
46,117.0577,-29.0521,-776.2170,-396.4876,-484.1817
47,352.5447,-29.3772,112.7367,861.5098,-489.1199
48,88.0713,11.1759,-977.6074,32.9205,193.2538
49,232.5934,-29.8328,687.0590,-525.4216,-496.0132
50,114.6616,23.3922,-831.6494,-381.8403,395.8587
51,169.0729,2.4219,-188.8361,-978.1169,42.1341
52,208.2782,-8.9320,466.6361,-867.4286,-154.8078
53,229.1650,-20.1861,708.0423,-611.9202,-344.0592
54,13.3413,-26.9252,-205.1347,864.9942,-451.4996
55,127.6203,26.1688,-708.8010,-546.2509,439.7251
56,175.5261,-15.5410,-74.9335,-957.6882,-267.1428
57,139.0866,29.1153,-570.4867,-658.2766,485.1430
58,243.3350,1.5201,890.7128,-447.3010,26.4493
59,269.0148,17.5421,950.5607,-16.3472,300.5234
60,132.9599,28.1505,-643.3723,-599.1135,470.4062
61,333.3707,28.7605,391.7718,781.3524,479.7398
62,152.7604,29.5570,-396.9811,-771.1308,491.8438
63,163.5139,29.5647,-246.1101,-831.5958,491.9605
64,71.1958,2.6792,-942.8195,321.0392,46.6077
65,169.5135,29.7860,-157.4951,-850.8901,495.3062
66,18.6802,-25.5132,-288.2066,852.4380,-429.4570
67,158.3472,29.2328,-321.0454,-808.6895,486.9273
68,268.4402,27.2107,886.3958,-24.1373,455.9241
69,47.0456,-29.2553,-636.6716,592.7596,-487.2703
70,71.4728,-28.8162,-828.3265,277.5916,-480.5884
71,230.3702,5.9483,763.7900,-632.5308,103.3280
72,225.0214,-29.3533,614.7477,-614.2880,-488.7561
73,42.9175,-13.7784,-659.4110,709.1774,-237.4690
74,36.2594,-16.3779,-565.7798,771.3608,-281.1456
75,121.6763,25.1429,-768.1366,-473.9719,423.6317
76,207.8401,27.7795,411.9709,-780.0498,464.7035
77,318.5486,-19.4585,622.3450,704.6359,-332.1475
78,309.1899,-10.9845,758.6258,618.4976,-189.9858
79,277.9145,-28.9592,864.0906,120.1257,-482.7672
80,40.3721,-29.2007,-563.7738,663.0852,-486.4402
81,213.5840,-14.1585,534.7841,-805.4017,-243.8875
82,33.5711,28.9588,-482.4146,726.8870,482.7612
83,23.8956,-23.7046,-369.8090,834.6932,-400.8436
84,66.4147,-28.3748,-803.9954,351.0117,-473.8451
85,63.9624,26.2369,-803.5748,392.5826,440.7872
86,278.1896,21.6654,917.1826,131.9979,368.1029
87,238.1925,11.3341,830.8079,-515.2739,195.9541
88,158.3037,-5.5055,-366.9030,-922.1596,-95.6600
89,337.9042,-11.2148,367.8921,906.2001,-193.9172
90,124.4658,-27.4080,-729.7733,-500.9187,-458.9754
