view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
0,9.9896,24.1755,-157.7916,895.8311,408.3326
1,129.2051,-15.9366,-742.9225,-606.0230,-273.7684
2,165.0060,-1.4905,-257.8725,-962.7960,-25.9356
3,138.0606,-4.2971,-664.5128,-739.5866,-74.7079
4,291.3764,-0.5764,928.4297,363.4069,-10.0299
5,324.3447,-0.3094,581.1902,810.1456,-5.3841
6,34.7088,18.2245,-539.2589,778.5323,311.8244
7,311.4572,-8.3968,739.2439,653.0439,-145.5991
8,11.6996,21.1473,-188.5696,910.6029,359.7093
9,359.2046,21.9799,12.8344,924.5087,373.1837
10,293.3465,16.7260,876.7043,378.4121,286.9511
11,293.5400,2.3174,913.3472,397.8926,40.3167
12,162.2206,-6.4444,-302.5341,-943.4493,-111.9092
13,147.0552,-19.5488,-510.9811,-788.5027,-333.6296
14,137.3337,-7.8821,-669.3568,-726.2318,-136.7328
15,344.5281,-10.0376,261.9126,946.2282,-173.7842
16,252.3528,-20.0488,892.5704,-283.9498,-341.8152
17,155.8907,-11.5334,-399.0572,-891.7166,-199.3533
18,116.1527,1.2493,-894.7789,-439.3691,21.7395
19,200.9621,-7.1354,353.9398,-923.8694,-123.8502
20,155.5638,-17.3091,-393.7877,-866.6453,-296.6551
21,214.6669,-21.4114,527.9954,-763.4645,-363.9915
22,8.5239,19.6204,-139.2073,928.8033,334.8027
23,131.4011,-10.0885,-736.3356,-649.1934,-174.6558
24,172.9440,22.3132,-113.3082,-915.4250,378.5567
25,23.0581,-22.0274,-362.0106,850.4447,-373.9507
26,94.6084,0.2139,-993.8389,-80.1094,3.7219
27,70.6562,-24.0396,-859.1827,301.6194,-406.1746
28,275.8888,8.2476,981.5497,101.2398,143.0302
29,60.9382,22.0857,-807.5834,448.7906,374.8908
30,278.9145,19.9233,926.0714,145.2584,339.7630
31,240.8011,8.6765,860.4123,-480.8469,150.4126
32,22.4292,11.5682,-372.6957,902.9208,199.9472
33,190.5207,-6.0800,181.0312,-974.7932,-105.6073
34,24.4999,18.7946,-391.4295,858.9181,321.2315
35,52.0860,-20.3059,-737.7360,574.6010,-346.0149
36,356.4586,6.1114,61.2390,989.5094,106.1506
37,170.5981,19.2473,-153.7757,-928.6925,328.6794
38,100.7945,-19.4169,-923.7209,-176.1166,-331.4656
39,344.4615,-21.3666,248.7429,894.6011,-363.2669
40,28.7608,9.8872,-472.6180,861.0854,171.2049
41,296.3443,-12.0959,873.6792,432.6407,-208.9345
42,250.7274,-19.2338,888.6572,-310.7260,-328.4584
43,282.0169,-5.2618,971.1102,206.7152,-91.4381
44,42.8308,-17.3428,-647.0277,697.9724,-297.2149
45,150.4312,-2.0575,-491.7054,-866.6552,-35.7980
46,9.0284,-23.2393,-143.7694,904.8215,-393.4151
47,340.3127,-20.3382,314.9583,880.2592,-346.5430
48,321.7880,-10.8030,605.8299,769.5399,-186.8837
49,240.1669,-1.0300,864.7961,-495.9369,-17.9229
50,96.6484,-10.9374,-972.3745,-113.3394,-189.1804
51,115.5657,2.0655,-898.8629,-430.0013,35.9363
52,349.1259,-15.9392,180.8663,941.5208,-273.8119
53,302.0992,15.4619,814.0769,510.6544,265.8156
54,292.6156,9.0081,909.0479,378.6911,156.1158
55,213.2690,17.1054,522.7685,-796.7770,293.2685
56,81.3665,3.7143,-983.7007,149.3586,64.5908
57,2.5387,17.6572,-42.0830,949.1630,302.4326
58,274.2319,3.9326,992.0095,73.4045,68.3816
59,281.4565,11.1815,958.6541,194.2825,193.3490
60,103.7893,8.9710,-956.4872,-234.7468,155.4769
61,45.2090,-14.7895,-684.1584,679.1858,-254.5212
62,27.9284,-17.8793,-444.4421,838.3991,-306.1128
63,75.0913,-23.0509,-886.5760,236.0438,-390.4014
64,84.1749,3.4490,-990.1241,101.0112,59.9831
65,100.5066,4.0088,-977.9537,-181.3694,69.7053
66,2.8464,18.3124,-47.0056,945.4071,313.2776
67,22.3496,24.3132,-345.5163,840.3813,410.5177
68,222.6340,24.8147,612.9744,-665.8110,418.4557
69,327.1826,-8.8214,533.9832,828.0271,-152.9051
70,274.4665,-18.2406,944.0913,73.7468,-312.0898
71,251.9208,5.0612,944.1468,-308.2151,87.9615
72,253.2816,-19.8762,898.0382,-269.7381,-338.9923
73,144.5700,-16.0149,-555.5767,-780.9052,-275.0792
74,7.2476,-21.2214,-117.2584,922.0302,-360.9124
75,58.2910,4.8985,-845.1376,522.1501,85.1400
76,295.7209,-10.5321,883.1448,425.4254,-182.2513
77,132.7801,-3.7793,-730.2232,-675.7233,-65.7204
78,19.5054,14.7902,-321.8865,908.7076,254.5319
79,280.2748,1.5166,980.7361,177.7847,26.3893
80,282.7112,21.7231,903.5594,203.8111,369.0371
81,137.9876,-4.0639,-665.6517,-738.9599,-70.6621
82,182.9370,0.2283,51.0880,-995.7516,3.9729
83,94.7345,-23.0973,-914.0146,-75.6998,-391.1442
84,55.8032,8.9017,-814.7551,553.6395,154.2870
