step,coverage,i_vcl
0.000000000000000000e+00,8.476040959358215332e-01,5.471566915512084961e-01
1.000000000000000000e+00,8.484768271446228027e-01,5.503096580505371094e-01
2.000000000000000000e+00,8.529055118560791016e-01,5.411013960838317871e-01
3.000000000000000000e+00,8.573088645935058594e-01,5.377132892608642578e-01
4.000000000000000000e+00,8.586083650588989258e-01,5.367422103881835938e-01
5.000000000000000000e+00,8.596951365470886230e-01,5.655806064605712891e-01
6.000000000000000000e+00,8.607586026191711426e-01,5.811782479286193848e-01
7.000000000000000000e+00,8.627581596374511719e-01,5.804281234741210938e-01
8.000000000000000000e+00,8.641042709350585938e-01,5.794550180435180664e-01
9.000000000000000000e+00,8.662753105163574219e-01,5.783661007881164551e-01
1.000000000000000000e+01,8.656957745552062988e-01,5.716336369514465332e-01
1.100000000000000000e+01,8.634408116340637207e-01,5.831521153450012207e-01
1.200000000000000000e+01,8.631086349487304688e-01,5.698818564414978027e-01
1.300000000000000000e+01,8.642576932907104492e-01,5.769548416137695312e-01
1.400000000000000000e+01,8.654385209083557129e-01,5.446462631225585938e-01
1.500000000000000000e+01,8.646118640899658203e-01,5.540336370468139648e-01
1.600000000000000000e+01,8.629540205001831055e-01,5.361549258232116699e-01
1.700000000000000000e+01,8.602001667022705078e-01,5.421212911605834961e-01
1.800000000000000000e+01,8.571896553039550781e-01,5.387878417968750000e-01
1.900000000000000000e+01,8.554393053054809570e-01,5.403815507888793945e-01
2.000000000000000000e+01,8.548022508621215820e-01,5.595402121543884277e-01
2.100000000000000000e+01,8.552119731903076172e-01,5.558686852455139160e-01
2.200000000000000000e+01,8.552810549736022949e-01,5.339979529380798340e-01
2.300000000000000000e+01,8.545774221420288086e-01,5.439690947532653809e-01
2.400000000000000000e+01,8.545545935630798340e-01,5.358480811119079590e-01
2.500000000000000000e+01,8.536626696586608887e-01,5.383599400520324707e-01
2.600000000000000000e+01,8.530301451683044434e-01,5.291461348533630371e-01
2.700000000000000000e+01,8.531711697578430176e-01,5.393727421760559082e-01
2.800000000000000000e+01,8.535199165344238281e-01,5.703699588775634766e-01
2.900000000000000000e+01,8.521998524665832520e-01,5.634098649024963379e-01
3.000000000000000000e+01,8.501626849174499512e-01,5.691438913345336914e-01
3.100000000000000000e+01,8.482874631881713867e-01,5.704407095909118652e-01
3.200000000000000000e+01,8.476219773292541504e-01,5.692758560180664062e-01
3.300000000000000000e+01,8.475181460380554199e-01,5.605906844139099121e-01
3.400000000000000000e+01,8.479258418083190918e-01,5.575280189514160156e-01
3.500000000000000000e+01,8.503203988075256348e-01,5.765134096145629883e-01
3.600000000000000000e+01,8.524559140205383301e-01,5.705479979515075684e-01
3.700000000000000000e+01,8.526247143745422363e-01,5.565645694732666016e-01
3.800000000000000000e+01,8.517350554466247559e-01,5.723850131034851074e-01
3.900000000000000000e+01,8.526071310043334961e-01,5.730069875717163086e-01
4.000000000000000000e+01,8.535594940185546875e-01,5.696840882301330566e-01
4.100000000000000000e+01,8.550971746444702148e-01,5.538265109062194824e-01
4.200000000000000000e+01,8.572356700897216797e-01,5.496569871902465820e-01
4.300000000000000000e+01,8.563415408134460449e-01,5.484414100646972656e-01
4.400000000000000000e+01,8.547574281692504883e-01,5.719338059425354004e-01
4.500000000000000000e+01,8.525305986404418945e-01,5.522620677947998047e-01
4.600000000000000000e+01,8.518007397651672363e-01,5.791025757789611816e-01
4.700000000000000000e+01,8.530937433242797852e-01,5.799546241760253906e-01
4.800000000000000000e+01,8.535764217376708984e-01,5.551445484161376953e-01
4.900000000000000000e+01,8.536098599433898926e-01,5.578281283378601074e-01
5.000000000000000000e+01,8.535063862800598145e-01,5.687387585639953613e-01
5.100000000000000000e+01,8.523708581924438477e-01,5.573127865791320801e-01
5.200000000000000000e+01,8.510942459106445312e-01,5.444239377975463867e-01
5.300000000000000000e+01,8.503158688545227051e-01,5.488940477371215820e-01
5.400000000000000000e+01,8.523281812667846680e-01,5.508668422698974609e-01
5.500000000000000000e+01,8.524862527847290039e-01,5.431991219520568848e-01
5.600000000000000000e+01,8.510318398475646973e-01,5.468050837516784668e-01
5.700000000000000000e+01,8.489487171173095703e-01,5.584522485733032227e-01
5.800000000000000000e+01,8.496223092079162598e-01,5.521998405456542969e-01
5.900000000000000000e+01,8.522096276283264160e-01,5.360524058341979980e-01
6.000000000000000000e+01,8.547303080558776855e-01,5.351969003677368164e-01
6.100000000000000000e+01,8.537155389785766602e-01,5.315452218055725098e-01
6.200000000000000000e+01,8.499286770820617676e-01,5.254331827163696289e-01
6.300000000000000000e+01,8.481664657592773438e-01,5.321686267852783203e-01
6.400000000000000000e+01,8.494663834571838379e-01,5.401116013526916504e-01
6.500000000000000000e+01,8.495997786521911621e-01,5.623763799667358398e-01
6.600000000000000000e+01,8.479853272438049316e-01,5.465036630630493164e-01
6.700000000000000000e+01,8.470345735549926758e-01,5.562437772750854492e-01
6.800000000000000000e+01,8.467882871627807617e-01,5.429981350898742676e-01
6.900000000000000000e+01,8.484432101249694824e-01,5.613768696784973145e-01
7.000000000000000000e+01,8.510259985923767090e-01,5.456987619400024414e-01
7.100000000000000000e+01,8.525087237358093262e-01,5.474263429641723633e-01
7.200000000000000000e+01,8.507745862007141113e-01,5.325751304626464844e-01
7.300000000000000000e+01,8.487405180931091309e-01,5.325506925582885742e-01
7.400000000000000000e+01,8.459035158157348633e-01,5.284791588783264160e-01
7.500000000000000000e+01,8.433504700660705566e-01,5.380094647407531738e-01
7.600000000000000000e+01,8.439284563064575195e-01,5.358252525329589844e-01
7.700000000000000000e+01,8.436468839645385742e-01,5.346667766571044922e-01
7.800000000000000000e+01,8.431757688522338867e-01,5.260171890258789062e-01
7.900000000000000000e+01,8.436862230300903320e-01,5.436651706695556641e-01
8.000000000000000000e+01,8.424970507621765137e-01,5.551161766052246094e-01
8.100000000000000000e+01,8.408550024032592773e-01,5.391298532485961914e-01
8.200000000000000000e+01,8.393424749374389648e-01,5.429962873458862305e-01
8.300000000000000000e+01,8.415351510047912598e-01,5.553703308105468750e-01
8.400000000000000000e+01,8.443519473075866699e-01,5.473502874374389648e-01
8.500000000000000000e+01,8.458833098411560059e-01,5.425545573234558105e-01
8.600000000000000000e+01,8.454008102416992188e-01,5.414493680000305176e-01
8.700000000000000000e+01,8.444108366966247559e-01,5.522803664207458496e-01
8.800000000000000000e+01,8.453607559204101562e-01,5.478264093399047852e-01
8.900000000000000000e+01,8.474843502044677734e-01,5.627052783966064453e-01
9.000000000000000000e+01,8.484932780265808105e-01,5.653935670852661133e-01
9.100000000000000000e+01,8.495945930480957031e-01,5.372146964073181152e-01
9.200000000000000000e+01,8.492411971092224121e-01,5.411617159843444824e-01
9.300000000000000000e+01,8.468480110168457031e-01,5.493149161338806152e-01
9.400000000000000000e+01,8.443360924720764160e-01,5.443844795227050781e-01
9.500000000000000000e+01,8.452097177505493164e-01,5.169992446899414062e-01
